genes	com_341	com_738	com_862	com_876	com_900	com_908	com_947	com_962	com_JB	locus_tag	ftype	bp	EC	COG	product
mutL	1	1	1	1	1	1	1	1	1	IGOCDMGC_02248	CDS	1950			DNA mismatch repair protein MutL
mutM	1	1	1	1	1	1	1	1	1	FOMIDEFL_03159	CDS	936	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
mutS	1	1	1	1	1	1	1	1	1	EPECHOLL_02785	CDS	741		COG0249	DNA mismatch repair protein MutS
mutS2	1	1	1	1	1	1	1	1	1	BGMKIKPO_02452	CDS	2349	3.1.-.-		Endonuclease MutS2
mutT1	1	1	1	1	1	1	1	1	1	NGPGJBKC_02631	CDS	945	3.6.1.55	COG0406	putative 8-oxo-dGTP diphosphatase 1
mutT2	1	1	1	1	1	1	1	1	1	NGPGJBKC_00683	CDS	471	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase 2
mutT3	1	1	1	1	1	1	1	1	1	IOFEINNK_02447	CDS	588	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase 3
mutT4	1	1	1	1	1	1	1	1	1	AGEJDLBK_02946	CDS	489	3.6.1.-	COG0494	Putative mutator protein MutT4
mutY	1	1	1	1	1	1	1	1	1	NGPGJBKC_01825	CDS	966	3.2.2.-	COG1194	Adenine DNA glycosylase
mvaA	1	1	1	1	1	1	1	1	1	PIPEENFB_01649	CDS	1281	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
mvaS	1	1	1	1	1	1	1	1	1	LJFCBDKD_02975	CDS	1161	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
mviN	1	1	1	1	1	1	1	1	1	DPNJBGPE_01253	CDS	2055		COG0728	putative peptidoglycan biosynthesis protein MviN
nadA	1	1	1	1	1	1	1	1	1	AGBMBALL_00698	CDS	1347	2.5.1.72	COG0379	Quinolinate synthase A
nadB	1	1	1	1	1	1	1	1	1	DPNJBGPE_01207	CDS	1728	1.4.3.16	COG0029	L-aspartate oxidase
nadC	1	1	1	1	1	1	1	1	1	AGEJDLBK_02319	CDS	924	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
nadD	1	1	1	1	1	1	1	1	1	GGCDANDK_02522	CDS	576	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
nadE	1	1	1	1	1	1	1	1	1	MCCDGJGB_00384	CDS	828	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
nadK	1	1	1	1	1	1	1	1	1	LDOPIMGM_02261	CDS	1038	2.7.1.23		NAD kinase
nag3	1	1	1	1	1	1	1	1	1	LKFOIOBI_00322	CDS	1725	3.2.1.21	COG1472	Beta-N-acetylglucosaminidase/beta-glucosidase
nagA	1	1	1	1	1	1	1	1	1	FAGDNHIP_01811	CDS	1158	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
nagAb	1	1	1	1	1	1	1	1	1	DPNJBGPE_01353	CDS	339			Naphthalene 1,2-dioxygenase/salicylate 5-hydroxylase systems, ferredoxin component
nagB	1	1	1	1	1	1	1	1	1	MOFHFCGN_01522	CDS	600	3.5.99.6		Glucosamine-6-phosphate deaminase
nagC	1	1	1	1	1	1	1	1	1	LJFCBDKD_01451	CDS	1200		COG1940	N-acetylglucosamine repressor
nagE	1	1	1	1	1	1	1	1	1	DNNBHHGK_01793	CDS	1965		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
nagJ	1	1	1	1	1	1	1	1	1	NGPGJBKC_02586	CDS	2406	3.2.1.169		O-GlcNAcase NagJ
nagK	1	1	1	1	1	1	1	1	1	HAJKDPKL_01724	CDS	1188	2.7.1.59		N-acetyl-D-glucosamine kinase
nagX	1	1	1	1	1	1	1	1	1	FAGDNHIP_01309	CDS	1209	1.14.13.24	COG0654	3-hydroxybenzoate 6-hydroxylase
nagZ	1	1	1	1	1	1	1	1	1	JOIMIODL_02484	CDS	1575	3.2.1.52	COG1472	Beta-hexosaminidase
naiP	1	1	1	1	1	1	1	1	1	MCMEOHNO_00059	CDS	1479			Putative niacin/nicotinamide transporter NaiP
namA	1	1	1	1	1	1	1	1	1	AGBMBALL_00766	CDS	1092	1.6.99.1	COG1902	NADPH dehydrogenase
nanA	1	1	1	1	1	1	1	1	1	PIPEENFB_01610	CDS	882	4.1.3.3	COG0329	N-acetylneuraminate lyase
nanE	1	1	1	1	1	1	1	1	1	EPECHOLL_00256	CDS	669	5.1.3.9		Putative N-acetylmannosamine-6-phosphate 2-epimerase
nanE2	1	1	1	1	1	1	1	1	1	IHGJPHMH_02759	CDS	690	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase 2
nanK	1	1	1	1	1	1	1	1	1	PIPEENFB_02109	CDS	897	2.7.1.60	COG1940	N-acetylmannosamine kinase
nanT	1	1	1	1	1	1	1	1	1	LJFCBDKD_02474	CDS	1437			Sialic acid transporter NanT
nap	1	1	1	1	1	1	1	1	1	MCCDGJGB_03432	CDS	990	3.1.1.1	COG0596	putative carboxylesterase nap
narG	1	1	1	1	1	1	1	1	1	FAGDNHIP_00233	CDS	3684	1.7.99.4	COG5013	Respiratory nitrate reductase 1 alpha chain
narH	1	1	1	1	1	1	1	1	1	HGOKLDLI_00771	CDS	1569	1.7.99.4	COG1140	Respiratory nitrate reductase 1 beta chain
narL	1	1	1	1	1	1	1	1	1	HAJKDPKL_00676	CDS	630		COG2197	putative transcriptional regulatory protein NarL
narT	1	1	1	1	1	1	1	1	1	IFGBOHMA_00335	CDS	1167		COG2223	putative nitrate transporter NarT
narW	1	1	1	1	1	1	1	1	1	FAGDNHIP_00235	CDS	576		COG2180	putative nitrate reductase molybdenum cofactor assembly chaperone NarW
narX	1	1	1	1	1	1	1	1	1	JOIMIODL_02860	CDS	1284	2.7.13.3		Nitrate/nitrite sensor protein NarX
nasD	1	1	1	1	1	1	1	1	1	IFGBOHMA_00325	CDS	2406	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
nasE	1	1	1	1	1	1	1	1	1	PIPEENFB_01494	CDS	315	1.7.1.4	COG2146	Assimilatory nitrite reductase [NAD(P)H] small subunit
natA	1	1	1	1	1	1	1	1	1	JOIMIODL_00902	CDS	930		COG4555	ABC transporter ATP-binding protein NatA
ndh	1	1	1	1	1	1	1	1	1	HAJKDPKL_02641	CDS	1521	1.6.99.3	COG1252	NADH dehydrogenase
ndhF	1	1	1	1	1	1	1	1	1	ADMANBBD_01272	CDS	1479	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
ndk	1	1	1	1	1	1	1	1	1	FAGDNHIP_00949	CDS	450	2.7.4.6	COG0105	Nucleoside diphosphate kinase
ndkA	1	1	1	1	1	1	1	1	1	DPNJBGPE_00966	CDS	426	2.7.4.6	COG0105	Nucleoside diphosphate kinase
ndoA	1	1	1	1	1	1	1	1	1	LDOPIMGM_02414	CDS	318			Naphthalene 1,2-dioxygenase system, ferredoxin component
ndvB	1	1	1	1	1	1	1	1	1	DNNBHHGK_02125	CDS	1578	2.4.1.-	COG3459	Cyclic beta-(1,2)-glucan synthase NdvB
nedA	1	1	1	1	1	1	1	1	1	LJFCBDKD_01073	CDS	1209	3.2.1.18		Sialidase
nei1	1	1	1	1	1	1	1	1	1	DPNJBGPE_01136	CDS	1044	3.2.2.-	COG0266	Endonuclease 8 1
nemA	1	1	1	1	1	1	1	1	1	LJFCBDKD_00556	CDS	1083	1.-.-.-	COG1902	N-ethylmaleimide reductase
neoA	1	1	1	1	1	1	1	1	1	HAJKDPKL_00372	CDS	1017	1.1.1.329		2-deoxy-scyllo-inosamine dehydrogenase
nepI	1	1	1	1	1	1	1	1	1	HAJKDPKL_02125	CDS	1179		COG2814	Purine ribonucleoside efflux pump NepI
neuA	1	1	1	1	1	1	1	1	1	MCMEOHNO_02754	CDS	708	2.7.7.82	COG1083	CMP-N,N'-diacetyllegionaminic acid synthase
nfdA	1	1	1	1	1	1	1	1	1	ADMANBBD_00159	CDS	1737	3.5.1.91		N-substituted formamide deformylase
nfo	1	1	1	1	1	1	1	1	1	IFGBOHMA_00878	CDS	891	3.1.21.2		putative endonuclease 4
nfrA	1	1	1	1	1	1	1	1	1	HGOKLDLI_02042	CDS	756	1.6.-.-	COG0778	NADPH-dependent oxidoreductase
nfuA	1	1	1	1	1	1	1	1	1	BGMKIKPO_00506	CDS	243			Fe/S biogenesis protein NfuA
nhaA	1	1	1	1	1	1	1	1	1	FOMIDEFL_01086	CDS	1314		COG3004	Na(+)/H(+) antiporter NhaA
nhaC	1	1	1	1	1	1	1	1	1	EPECHOLL_02589	CDS	1470		COG1757	Na(+)/H(+) antiporter NhaC
nhaK	1	1	1	1	1	1	1	1	1	HGOKLDLI_00079	CDS	2052		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
nhaP	1	1	1	1	1	1	1	1	1	HGOKLDLI_00668	CDS	1800			K(+)/H(+) antiporter NhaP
nhaX	1	1	1	1	1	1	1	1	1	EPECHOLL_00898	CDS	414		COG0589	Stress response protein NhaX
nifS	1	1	1	1	1	1	1	1	1	AGDBFNGI_00073	CDS	1215	2.8.1.7	COG1104	Cysteine desulfurase NifS
nikA	1	1	1	1	1	1	1	1	1	AGBMBALL_02589	CDS	1656		COG0747	Nickel-binding periplasmic protein
nikB	1	1	1	1	1	1	1	1	1	HGOKLDLI_02148	CDS	978		COG0601	Nickel transport system permease protein NikB
nimR	1	1	1	1	1	1	1	1	1	AGBMBALL_02587	CDS	981			HTH-type transcriptional regulator NimR
nirC	1	1	1	1	1	1	1	1	1	IFGBOHMA_00320	CDS	819		COG2116	Nitrite transporter NirC
nirQ	1	1	1	1	1	1	1	1	1	EPECHOLL_01177	CDS	792		COG0714	Denitrification regulatory protein NirQ
nlhH	1	1	1	1	1	1	1	1	1	DNNBHHGK_02961	CDS	969	3.1.1.1	COG0657	Carboxylesterase NlhH
nlpD	1	1	1	1	1	1	1	1	1	HAJKDPKL_02398	CDS	774			Murein hydrolase activator NlpD
nmtR	1	1	1	1	1	1	1	1	1	ADMANBBD_02447	CDS	330			HTH-type transcriptional regulator NmtR
nnrD	1	1	1	1	1	1	1	1	1	PIPEENFB_01210	CDS	813	4.2.1.136	COG0063	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
noc	1	1	1	1	1	1	1	1	1	EPECHOLL_02250	CDS	840		COG1475	Nucleoid occlusion protein
norB	1	1	1	1	1	1	1	1	1	BGMKIKPO_00682	CDS	1389			Quinolone resistance protein NorB
norG	1	1	1	1	1	1	1	1	1	BGMKIKPO_01716	CDS	1425		COG1167	HTH-type transcriptional regulator NorG
nos	1	1	1	1	1	1	1	1	1	EPECHOLL_02343	CDS	1065	1.14.14.47		Nitric oxide synthase oxygenase
nosF	1	1	1	1	1	1	1	1	1	NGPGJBKC_01479	CDS	915		COG1131	putative ABC transporter ATP-binding protein NosF
nphR	1	1	1	1	1	1	1	1	1	AGEJDLBK_03335	CDS	963			Transcriptional activator NphR
nrdD	1	1	1	1	1	1	1	1	1	IGOCDMGC_02292	CDS	1851	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
nrdE	1	1	1	1	1	1	1	1	1	FAGDNHIP_01783	CDS	2106	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
nrdE1	1	1	1	1	1	1	1	1	1	GGCDANDK_03182	CDS	2157	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha 1
nrdF	1	1	1	1	1	1	1	1	1	PIPEENFB_00494	CDS	969	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
nrdF2	1	1	1	1	1	1	1	1	1	MCCDGJGB_01046	CDS	981	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta nrdF2
nrdG	1	1	1	1	1	1	1	1	1	LKFOIOBI_00051	CDS	537	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
nrdH	1	1	1	1	1	1	1	1	1	MCMEOHNO_03422	CDS	246		COG0695	Glutaredoxin-like protein NrdH
nrdI	1	1	1	1	1	1	1	1	1	JOIMIODL_01675	CDS	399		COG1780	Protein NrdI
nrdR	1	1	1	1	1	1	1	1	1	LJFCBDKD_00840	CDS	459		COG1327	Transcriptional repressor NrdR
nreB	1	1	1	1	1	1	1	1	1	LKFOIOBI_00412	CDS	1035	2.7.13.3		Oxygen sensor histidine kinase NreB
nreC	1	1	1	1	1	1	1	1	1	AGBMBALL_00963	CDS	864		COG2197	Oxygen regulatory protein NreC
nrnA	1	1	1	1	1	1	1	1	1	PIPEENFB_00976	CDS	936	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
nsrR	1	1	1	1	1	1	1	1	1	EPECHOLL_01379	CDS	384		COG1959	HTH-type transcriptional repressor NsrR
ntaA	1	1	1	1	1	1	1	1	1	IOFEINNK_00896	CDS	1311	1.14.14.10		Nitrilotriacetate monooxygenase component A
ntdC	1	1	1	1	1	1	1	1	1	IHGJPHMH_02568	CDS	1056	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
nth	1	1	1	1	1	1	1	1	1	NGPGJBKC_01444	CDS	621	4.2.99.18		Endonuclease III
nucS	1	1	1	1	1	1	1	1	1	AGEJDLBK_00189	CDS	696	3.1.-.-	COG1637	Endonuclease NucS
nudC	1	1	1	1	1	1	1	1	1	DPNJBGPE_00017	CDS	474	3.6.1.22		NADH pyrophosphatase
nudF	1	1	1	1	1	1	1	1	1	AGDBFNGI_02244	CDS	648	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
nudG	1	1	1	1	1	1	1	1	1	MCMEOHNO_00612	CDS	405	3.6.1.65	COG0494	CTP pyrophosphohydrolase
nudL	1	1	1	1	1	1	1	1	1	FOMIDEFL_00249	CDS	702	3.6.1.-		putative Nudix hydrolase NudL
nuoL	1	1	1	1	1	1	1	1	1	IGOCDMGC_00008	CDS	1530	1.6.5.11	COG1009	NADH-quinone oxidoreductase subunit L
nupC	1	1	1	1	1	1	1	1	1	PIPEENFB_02035	CDS	1215		COG1972	Nucleoside permease NupC
nupG	1	1	1	1	1	1	1	1	1	BGMKIKPO_01683	CDS	1230		COG1972	Purine nucleoside transport protein NupG
nupX	1	1	1	1	1	1	1	1	1	FOMIDEFL_02307	CDS	1413		COG1972	Putative nucleoside permease NupX
nusA	1	1	1	1	1	1	1	1	1	MOFHFCGN_00900	CDS	1176		COG0195	Transcription termination/antitermination protein NusA
nusB	1	1	1	1	1	1	1	1	1	HGOKLDLI_01296	CDS	387			Transcription antitermination protein NusB
nusG	1	1	1	1	1	1	1	1	1	LJFCBDKD_01514	CDS	948		COG0250	Transcription termination/antitermination protein NusG
nylA	1	1	1	1	1	1	1	1	1	FOMIDEFL_00605	CDS	1449	3.5.2.12		6-aminohexanoate-cyclic-dimer hydrolase
nylB	1	1	1	1	1	1	1	1	1	AGEJDLBK_01709	CDS	1881	3.5.1.46		6-aminohexanoate-dimer hydrolase
oatA	1	1	1	1	1	1	1	1	1	AGBMBALL_00290	CDS	2385	2.3.1.-		O-acetyltransferase OatA
obg	1	1	1	1	1	1	1	1	1	IGOCDMGC_00851	CDS	1296	3.6.5.-		GTPase Obg
occM	1	1	1	1	1	1	1	1	1	MCMEOHNO_02706	CDS	996			Octopine transport system permease protein OccM
ocd	1	1	1	1	1	1	1	1	1	AGBMBALL_00424	CDS	1029	4.3.1.12		Ornithine cyclodeaminase
odh	1	1	1	1	1	1	1	1	1	EPECHOLL_00432	CDS	1071	1.5.1.28		Opine dehydrogenase
odhA	1	1	1	1	1	1	1	1	1	HGOKLDLI_01202	CDS	2802	1.2.4.2		2-oxoglutarate dehydrogenase E1 component
odhB	1	1	1	1	1	1	1	1	1	IGOCDMGC_00642	CDS	1266	2.3.1.61		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
ogt	1	1	1	1	1	1	1	1	1	FAGDNHIP_00075	CDS	534	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
ohrB	1	1	1	1	1	1	1	1	1	LJFCBDKD_00649	CDS	423		COG1764	Organic hydroperoxide resistance protein OhrB
ohrR	1	1	1	1	1	1	1	1	1	LJFCBDKD_00648	CDS	501			Organic hydroperoxide resistance transcriptional regulator
oleD	1	1	1	1	1	1	1	1	1	AGEJDLBK_02639	CDS	933	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
opcR	1	1	1	1	1	1	1	1	1	IFGBOHMA_02375	CDS	555		COG1510	HTH-type transcriptional repressor OpcR
ophA1	1	1	1	1	1	1	1	1	1	MCMEOHNO_01452	CDS	273	1.-.-.-		Phthalate dioxygenase reductase
oppA	1	1	1	1	1	1	1	1	1	NGPGJBKC_00220	CDS	1647		COG4166	Oligopeptide-binding protein OppA
oppB	1	1	1	1	1	1	1	1	1	LJFCBDKD_02230	CDS	1011		COG0601	Oligopeptide transport system permease protein OppB
oppC	1	1	1	1	1	1	1	1	1	FOMIDEFL_01104	CDS	882		COG1173	Oligopeptide transport system permease protein OppC
oppD	1	1	1	1	1	1	1	1	1	PIPEENFB_02089	CDS	780		COG0444	Oligopeptide transport ATP-binding protein OppD
oppF	1	1	1	1	1	1	1	1	1	DNNBHHGK_00610	CDS	831		COG4608	Oligopeptide transport ATP-binding protein OppF
opuAB	1	1	1	1	1	1	1	1	1	AGDBFNGI_01834	CDS	897		COG4176	Glycine betaine transport system permease protein OpuAB
opuBA	1	1	1	1	1	1	1	1	1	AGBMBALL_01084	CDS	831		COG1125	Choline transport ATP-binding protein OpuBA
opuBB	1	1	1	1	1	1	1	1	1	IFGBOHMA_01141	CDS	1515		COG1174	Choline transport system permease protein OpuBB
opuCA	1	1	1	1	1	1	1	1	1	LKFOIOBI_00358	CDS	1185	3.6.3.32		Carnitine transport ATP-binding protein OpuCA
opuCB	1	1	1	1	1	1	1	1	1	MCMEOHNO_03373	CDS	777		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
opuCC	1	1	1	1	1	1	1	1	1	LKFOIOBI_00879	CDS	987			Carnitine transport binding protein OpuCC
opuCD	1	1	1	1	1	1	1	1	1	LKFOIOBI_00361	CDS	690		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCD
opuD	1	1	1	1	1	1	1	1	1	IGOCDMGC_02732	CDS	1611		COG1292	Glycine betaine transporter OpuD
opuE	1	1	1	1	1	1	1	1	1	EBMLHIBA_02951	CDS	1539		COG0591	Osmoregulated proline transporter OpuE
orn	1	1	1	1	1	1	1	1	1	EBMLHIBA_01521	CDS	570	3.1.-.-	COG1949	Oligoribonuclease
orr	1	1	1	1	1	1	1	1	1	PIPEENFB_01289	CDS	1062	5.1.1.12	COG3457	Ornithine racemase
otnI	1	1	1	1	1	1	1	1	1	ADMANBBD_01267	CDS	813	5.3.1.35	COG3622	2-oxo-tetronate isomerase
otsA	1	1	1	1	1	1	1	1	1	JOIMIODL_00795	CDS	2289	2.4.1.-	COG0380	Trehalose-6-phosphate synthase
otsB	1	1	1	1	1	1	1	1	1	LDOPIMGM_00534	CDS	921	3.1.3.12	COG0637	Trehalose-phosphate phosphatase
ousA	1	1	1	1	1	1	1	1	1	IOFEINNK_01732	CDS	525			Glycine betaine/proline/ectoine/pipecolic acid transporter OusA
oxyL	1	1	1	1	1	1	1	1	1	NGPGJBKC_01072	CDS	1434	1.14.13.232		6-methylpretetramide 4-monooxygenase
oxyR	1	1	1	1	1	1	1	1	1	IGOCDMGC_01108	CDS	855			Hydrogen peroxide-inducible genes activator
paaA	1	1	1	1	1	1	1	1	1	AGDBFNGI_00830	CDS	978	1.14.13.149	COG3396	1,2-phenylacetyl-CoA epoxidase, subunit A
paaB	1	1	1	1	1	1	1	1	1	GGCDANDK_02107	CDS	327		COG3460	1,2-phenylacetyl-CoA epoxidase, subunit B
paaC	1	1	1	1	1	1	1	1	1	AGDBFNGI_00832	CDS	969		COG3396	1,2-phenylacetyl-CoA epoxidase, subunit C
paaD	1	1	1	1	1	1	1	1	1	IOFEINNK_00111	CDS	549		COG2151	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
paaE	1	1	1	1	1	1	1	1	1	IOFEINNK_00110	CDS	1155	1.-.-.-	COG1018	1,2-phenylacetyl-CoA epoxidase, subunit E
paaG	1	1	1	1	1	1	1	1	1	AGEJDLBK_01480	CDS	759	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
paaI	1	1	1	1	1	1	1	1	1	AGEJDLBK_02793	CDS	504	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
paaK	1	1	1	1	1	1	1	1	1	IOFEINNK_00116	CDS	1296	6.2.1.30		Phenylacetate-coenzyme A ligase
paaX	1	1	1	1	1	1	1	1	1	LDOPIMGM_00269	CDS	816		COG3327	Transcriptional repressor PaaX
paaZ	1	1	1	1	1	1	1	1	1	GGCDANDK_02119	CDS	2037		COG2030	Bifunctional protein PaaZ
pabA	1	1	1	1	1	1	1	1	1	IFGBOHMA_01131	CDS	594	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
pabB	1	1	1	1	1	1	1	1	1	HGOKLDLI_01150	CDS	1407	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
pafA	1	1	1	1	1	1	1	1	1	LDOPIMGM_02356	CDS	1404	6.3.1.19		Pup--protein ligase
pafB	1	1	1	1	1	1	1	1	1	IOFEINNK_01405	CDS	975		COG2378	Protein PafB
pafC	1	1	1	1	1	1	1	1	1	LDOPIMGM_02351	CDS	888		COG2378	Protein PafC
paiA	1	1	1	1	1	1	1	1	1	BGMKIKPO_01088	CDS	519	2.3.1.57	COG0454	Spermidine/spermine N(1)-acetyltransferase
pamO	1	1	1	1	1	1	1	1	1	JOIMIODL_02476	CDS	1428	1.14.13.92	COG2072	Phenylacetone monooxygenase
panB	1	1	1	1	1	1	1	1	1	LJFCBDKD_02104	CDS	828	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
panC	1	1	1	1	1	1	1	1	1	EBMLHIBA_01709	CDS	852	6.3.2.1	COG0414	Pantothenate synthetase
panD	1	1	1	1	1	1	1	1	1	MCMEOHNO_00986	CDS	426	4.1.1.11	COG0853	Aspartate 1-decarboxylase
panE	1	1	1	1	1	1	1	1	1	LKFOIOBI_00083	CDS	936	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
panS	1	1	1	1	1	1	1	1	1	DNNBHHGK_03251	CDS	1011		COG0385	Pantothenate precursors transporter PanS
parA	1	1	1	1	1	1	1	1	1	MCCDGJGB_00159	CDS	813			Chromosome partitioning protein ParA
parB	1	1	1	1	1	1	1	1	1	IHGJPHMH_02640	CDS	1890		COG1475	putative chromosome-partitioning protein ParB
parC	1	1	1	1	1	1	1	1	1	BGMKIKPO_01176	CDS	2403	5.99.1.3	COG0188	DNA topoisomerase 4 subunit A
parE	1	1	1	1	1	1	1	1	1	MOFHFCGN_00993	CDS	2001	5.99.1.3		DNA topoisomerase 4 subunit B
pat	1	1	1	1	1	1	1	1	1	FOMIDEFL_02443	CDS	1125	2.6.1.-	COG0079	Putative phenylalanine aminotransferase
patA	1	1	1	1	1	1	1	1	1	AGEJDLBK_01926	CDS	1170	2.6.1.-	COG0436	Putative N-acetyl-LL-diaminopimelate aminotransferase
pbp	1	1	1	1	1	1	1	1	1	MCMEOHNO_03394	CDS	1947		COG0768	Beta-lactam-inducible penicillin-binding protein
pbpA	1	1	1	1	1	1	1	1	1	MCMEOHNO_02687	CDS	1446		COG0768	Penicillin-binding protein A
pbpB	1	1	1	1	1	1	1	1	1	IFGBOHMA_01507	CDS	2241		COG0768	Penicillin-binding protein 2B
pbpE	1	1	1	1	1	1	1	1	1	IHGJPHMH_02232	CDS	1401		COG1680	Penicillin-binding protein 4*
pbpF	1	1	1	1	1	1	1	1	1	FOMIDEFL_00242	CDS	2400		COG0744	Penicillin-binding protein 1F
pbpH	1	1	1	1	1	1	1	1	1	FAGDNHIP_01025	CDS	2052		COG0768	Penicillin-binding protein H
pbsA1	1	1	1	1	1	1	1	1	1	DNNBHHGK_00655	CDS	660	1.14.14.18		Heme oxygenase 1
pbuE	1	1	1	1	1	1	1	1	1	IFGBOHMA_02135	CDS	570		COG2814	Purine efflux pump PbuE
pbuG	1	1	1	1	1	1	1	1	1	DNNBHHGK_01941	CDS	1503		COG2252	Guanine/hypoxanthine permease PbuG
pcaF	1	1	1	1	1	1	1	1	1	ADMANBBD_01081	CDS	1167	2.3.1.174		Beta-ketoadipyl-CoA thiolase
pcaH	1	1	1	1	1	1	1	1	1	GGCDANDK_00187	CDS	801	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase beta chain
pcaR	1	1	1	1	1	1	1	1	1	ADMANBBD_03831	CDS	786		COG1414	Pca regulon regulatory protein
pchA	1	1	1	1	1	1	1	1	1	LKFOIOBI_02027	CDS	1353	5.4.4.2	COG1169	Salicylate biosynthesis isochorismate synthase
pckA	1	1	1	1	1	1	1	1	1	PIPEENFB_01059	CDS	1590	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
pckG	1	1	1	1	1	1	1	1	1	AGEJDLBK_01694	CDS	1833	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
pcm	1	1	1	1	1	1	1	1	1	DNNBHHGK_01275	CDS	576	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
pcoC	1	1	1	1	1	1	1	1	1	DPNJBGPE_00220	CDS	600		COG2372	Copper resistance protein C
pcp	1	1	1	1	1	1	1	1	1	BGMKIKPO_00998	CDS	645	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
pcpB	1	1	1	1	1	1	1	1	1	HAJKDPKL_00409	CDS	1599	1.14.13.50	COG0654	Pentachlorophenol 4-monooxygenase
pcrA	1	1	1	1	1	1	1	1	1	AGBMBALL_01562	CDS	3288	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
pcrB	1	1	1	1	1	1	1	1	1	LKFOIOBI_01914	CDS	693	2.5.1.-	COG1646	Heptaprenylglyceryl phosphate synthase
pdg	1	1	1	1	1	1	1	1	1	LKFOIOBI_02400	CDS	636			Ultraviolet N-glycosylase/AP lyase
pdhA	1	1	1	1	1	1	1	1	1	BGMKIKPO_02410	CDS	1113	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
pdhB	1	1	1	1	1	1	1	1	1	FAGDNHIP_02014	CDS	978	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
pdhC	1	1	1	1	1	1	1	1	1	EPECHOLL_01080	CDS	1269	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
pdhD	1	1	1	1	1	1	1	1	1	NGPGJBKC_00632	CDS	1500	1.8.1.4		Dihydrolipoyl dehydrogenase
pdp	1	1	1	1	1	1	1	1	1	FAGDNHIP_02341	CDS	1302	2.4.2.2		Pyrimidine-nucleoside phosphorylase
pdtaR	1	1	1	1	1	1	1	1	1	NGPGJBKC_00464	CDS	651		COG3707	putative transcriptional regulatory protein pdtaR
pdtaS	1	1	1	1	1	1	1	1	1	LDOPIMGM_02852	CDS	1545	2.7.13.3	COG3920	putative sensor histidine kinase pdtaS
pdxA2	1	1	1	1	1	1	1	1	1	LDOPIMGM_01778	CDS	1044	1.1.1.409	COG1995	D-erythronate 4-phosphate dehydrogenase
pdxH	1	1	1	1	1	1	1	1	1	LDOPIMGM_00484	CDS	672	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
pdxK	1	1	1	1	1	1	1	1	1	EPECHOLL_01899	CDS	831	2.7.1.35	COG0351	Pyridoxine kinase
