"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SEQ_341_10","SEQ_738_7","SEQ_862_5","SEQ_876_5","SEQ_900_4","SEQ_908_10","SEQ_947_12","SEQ_962_6","SEQ_BC9"
"group_2427","","hypothetical protein","6","6","1","14","4151","2","472","","404","404","404","","BGMKIKPO_02996","HGOKLDLI_02100","","LKFOIOBI_02533","MOFHFCGN_01547","IFGBOHMA_02524","PIPEENFB_01669",""
"group_2438","melB_2","Melibiose carrier protein","6","6","1","14","1485","29","6","","1364","1370","1369","","BGMKIKPO_03070","HGOKLDLI_02086","IGOCDMGC_00005","","MOFHFCGN_01625","IFGBOHMA_02068","PIPEENFB_02535",""
"melA","","Alpha-galactosidase","6","6","1","14","1480","29","2","","1298","1298","1298","","BGMKIKPO_03071","HGOKLDLI_02085","IGOCDMGC_00006","","MOFHFCGN_01626","IFGBOHMA_02069","PIPEENFB_02536",""
"btr","","HTH-type transcriptional activator Btr","6","6","1","14","1481","29","1","","884","884","884","","BGMKIKPO_03072","HGOKLDLI_02084","IGOCDMGC_00007","","MOFHFCGN_01627","IFGBOHMA_02070","PIPEENFB_02537",""
"group_2441","","hypothetical protein","6","6","1","14","1294","2","298","","332","332","332","","BGMKIKPO_03080","HGOKLDLI_02776","IGOCDMGC_02793","","MOFHFCGN_00614","IFGBOHMA_02691","PIPEENFB_02762",""
"group_2444","","hypothetical protein","6","6","1","17","8","13","8","","527","527","527","","BGMKIKPO_03094","","IGOCDMGC_02811","LKFOIOBI_02835","MOFHFCGN_02879","IFGBOHMA_02900","PIPEENFB_02886",""
"group_2447","","hypothetical protein","6","6","1","14","3679","3","37","","455","455","455","","BGMKIKPO_03121","HGOKLDLI_00303","IGOCDMGC_00229","","MOFHFCGN_01726","IFGBOHMA_01278","PIPEENFB_00366",""
"group_2448","","hypothetical protein","6","6","1","14","3672","3","73","","173","173","173","","BGMKIKPO_03123","HGOKLDLI_00305","IGOCDMGC_00227","","MOFHFCGN_01728","IFGBOHMA_01280","PIPEENFB_00364",""
"group_2668","","hypothetical protein","6","6","1","14","4298","2","537","","773","773","773","","","HGOKLDLI_02967","IGOCDMGC_01239","LKFOIOBI_02530","MOFHFCGN_01567","IFGBOHMA_02610","PIPEENFB_02829",""
"natA_3","","ABC transporter ATP-binding protein NatA","6","6","1","14","4299","2","538","","695","695","695","","","HGOKLDLI_02968","IGOCDMGC_01238","LKFOIOBI_02529","MOFHFCGN_01568","IFGBOHMA_02609","PIPEENFB_02830",""
"group_28","","hypothetical protein","6","6","1","14","1776","2","557","","473","971","888","FAGDNHIP_01615","","HGOKLDLI_02903","IGOCDMGC_01253","LKFOIOBI_02567","MOFHFCGN_01607","IFGBOHMA_02618","",""
"fmtA_2","","Protein FmtA","6","6","1","14","3450","101","2","","797","1148","855","","BGMKIKPO_02371","HGOKLDLI_00495","IGOCDMGC_01733","LKFOIOBI_02014","","IFGBOHMA_01611","PIPEENFB_00174",""
"zntR","","HTH-type transcriptional regulator ZntR","6","6","1","14","1497","85","4","","731","737","732","","BGMKIKPO_00359","HGOKLDLI_01749","IGOCDMGC_01937","LKFOIOBI_02639","","IFGBOHMA_02060","PIPEENFB_02526",""
"group_323","","hypothetical protein","6","6","1","14","1147","1","641","","557","995","922","FAGDNHIP_02228","","HGOKLDLI_01824","IGOCDMGC_01789","","MOFHFCGN_02792","IFGBOHMA_02270","PIPEENFB_01159",""
"group_332","yhdG_4","putative amino acid permease YhdG","6","6","1","14","4433","121","1","","1166","1421","1378","FAGDNHIP_02287","BGMKIKPO_02529","HGOKLDLI_01763","","","","IFGBOHMA_02557","PIPEENFB_01233","EPECHOLL_02262"
"group_360","","hypothetical protein","6","6","1","14","4248","2","93","","380","380","380","FAGDNHIP_02597","","HGOKLDLI_02908","IGOCDMGC_01246","","MOFHFCGN_01560","","PIPEENFB_02822","EPECHOLL_01792"
"bin3_1","","Putative transposon Tn552 DNA-invertase bin3","6","6","1","14","4351","2","500","","284","611","550","FAGDNHIP_02641","BGMKIKPO_02305","","","LKFOIOBI_01718","MOFHFCGN_02813","","PIPEENFB_02841","EPECHOLL_00070"
"group_380","","hypothetical protein","6","6","1","14","2612","1","99","","368","368","368","","BGMKIKPO_00384","","IGOCDMGC_00377","","MOFHFCGN_01442","IFGBOHMA_01706","PIPEENFB_01093","EPECHOLL_01486"
"group_383","","hypothetical protein","6","6","1","14","637","571","4","","530","1790","740","","BGMKIKPO_00697","HGOKLDLI_02182","IGOCDMGC_01581","","MOFHFCGN_02069","IFGBOHMA_00142","PIPEENFB_02057",""
"group_386","","hypothetical protein","6","6","1","14","3758","1","714","","1370","3755","3357","","BGMKIKPO_00820","HGOKLDLI_00266","IGOCDMGC_00955","","MOFHFCGN_00270","IFGBOHMA_01241","PIPEENFB_00403",""
"group_392","","hypothetical protein","6","6","1","14","3783","1","744","","197","197","197","","BGMKIKPO_01833","HGOKLDLI_00242","IGOCDMGC_00982","","MOFHFCGN_00242","IFGBOHMA_01214","PIPEENFB_00430",""
"ydjJ","","putative zinc-type alcohol dehydrogenase-like protein YdjJ","6","6","1","14","4311","2","541","","251","1037","906","","BGMKIKPO_02308","HGOKLDLI_02950","IGOCDMGC_01235","","MOFHFCGN_01571","","PIPEENFB_02833","EPECHOLL_00076"
"cadC_2","","Cadmium resistance transcriptional regulatory protein CadC","6","6","1","14","4150","2","545","","323","347","331","","BGMKIKPO_02997","","","LKFOIOBI_02534","MOFHFCGN_01546","IFGBOHMA_02525","PIPEENFB_01670","EPECHOLL_01795"
"group_411","","hypothetical protein","6","6","1","14","2090","1","91","","1265","1676","1601","","BGMKIKPO_00389","HGOKLDLI_01583","IGOCDMGC_00382","","","IFGBOHMA_01701","PIPEENFB_01098","EPECHOLL_01491"
"group_4325","","tRNA-Tyr(gta)","6","6","1","15","3","615","2","","83","83","83","","","HGOKLDLI_02827","IGOCDMGC_02661","LKFOIOBI_02651","MOFHFCGN_02694","IFGBOHMA_02731","PIPEENFB_02724",""
"group_4534","","tRNA-Glu(ttc)","6","6","1","15","1","615","4","","73","73","73","","","HGOKLDLI_02825","IGOCDMGC_02663","LKFOIOBI_02649","MOFHFCGN_02696","IFGBOHMA_02729","PIPEENFB_02726",""
"pls_1","","hypothetical protein","6","6","1","14","818","22","6","","1229","8450","3706","FAGDNHIP_00422","BGMKIKPO_00401","HGOKLDLI_02425","IGOCDMGC_02432","","","IFGBOHMA_00436","PIPEENFB_01686",""
"group_4651","","tRNA-Val(tac)","6","6","1","15","2","615","3","","75","75","75","","","HGOKLDLI_02826","IGOCDMGC_02662","LKFOIOBI_02650","MOFHFCGN_02695","IFGBOHMA_02730","PIPEENFB_02725",""
"group_60","","putative 27.7 kDa protein","6","6","1","14","1649","2","158","","245","554","491","","BGMKIKPO_02360","HGOKLDLI_02816","","LKFOIOBI_02795","","IFGBOHMA_02470","PIPEENFB_01255","EPECHOLL_02126"
"group_603","","tRNA-Lys(ttt)","6","6","1","15","4","615","1","","73","73","73","","","HGOKLDLI_02829","IGOCDMGC_02659","LKFOIOBI_02653","MOFHFCGN_02692","IFGBOHMA_02733","PIPEENFB_02722",""
"pls_2","","Surface protein","6","6","1","14","830","22","9","","263","716","489","FAGDNHIP_00424","BGMKIKPO_02642","HGOKLDLI_02428","IGOCDMGC_02274","","","IFGBOHMA_00433","PIPEENFB_01683",""
"group_7","","hypothetical protein","6","6","1","14","4102","2","577","","197","224","216","FAGDNHIP_02383","BGMKIKPO_02318","","","LKFOIOBI_02514","MOFHFCGN_01540","IFGBOHMA_02537","","EPECHOLL_00049"
"epsH","","hypothetical protein","6","6","1","14","14","1","346","","1091","1856","1218","FAGDNHIP_02190","BGMKIKPO_02884","HGOKLDLI_01888","IGOCDMGC_02551","","","IFGBOHMA_02327","PIPEENFB_00784",""
"group_79","epsJ_4","putative glycosyltransferase EpsJ","6","6","1","14","1036","1","438","","239","1856","508","","BGMKIKPO_02885","HGOKLDLI_01889","IGOCDMGC_02552","","MOFHFCGN_02581","IFGBOHMA_02328","PIPEENFB_00785",""
"group_89","","hypothetical protein","6","6","1","14","1296","2","300","","359","596","438","FAGDNHIP_02704","","HGOKLDLI_02778","IGOCDMGC_02795","","MOFHFCGN_00615","IFGBOHMA_02693","PIPEENFB_02760",""
"licR_2","","putative licABCH operon regulator","6","6","1","14","1457","7","20","","1133","1133","1133","","BGMKIKPO_01190","HGOKLDLI_02065","IGOCDMGC_02091","","MOFHFCGN_01646","IFGBOHMA_02089","PIPEENFB_02556",""
"group_111","","hypothetical protein","5","5","1","14","572","45","1","","407","407","407","","BGMKIKPO_00641","HGOKLDLI_00643","","","MOFHFCGN_02014","IFGBOHMA_00198","PIPEENFB_01619",""
"group_1134","","hypothetical protein","5","5","1","14","1163","1","669","","263","263","263","FAGDNHIP_02231","","HGOKLDLI_01821","IGOCDMGC_01792","","MOFHFCGN_02795","IFGBOHMA_02266","",""
"group_1231","","hypothetical protein","5","5","1","14","4220","2","94","","974","989","986","FAGDNHIP_02596","","HGOKLDLI_02907","IGOCDMGC_01247","","MOFHFCGN_01559","","PIPEENFB_02821",""
"group_1255","","hypothetical protein","5","5","1","14","3815","1","784","","407","407","407","","BGMKIKPO_01810","HGOKLDLI_00220","IGOCDMGC_01005","","","IFGBOHMA_01192","PIPEENFB_00453",""
"group_1256","","hypothetical protein","5","5","1","14","2064","1","184","","212","212","212","","BGMKIKPO_00115","HGOKLDLI_01612","IGOCDMGC_00412","","","IFGBOHMA_01671","PIPEENFB_01129",""
"group_1268","","hypothetical protein","5","5","1","14","4537","1","492","","338","338","338","","BGMKIKPO_00761","HGOKLDLI_02930","","","MOFHFCGN_00688","IFGBOHMA_02821","PIPEENFB_02770",""
"hin_1","","DNA-invertase hin","5","5","1","14","4540","1","493","","899","1676","1520","","BGMKIKPO_00762","HGOKLDLI_02931","","","MOFHFCGN_00687","IFGBOHMA_02822","PIPEENFB_02769",""
"group_1295","","hypothetical protein","5","5","1","14","2110","1","277","","593","593","593","","BGMKIKPO_01486","","IGOCDMGC_00396","","MOFHFCGN_01462","IFGBOHMA_01688","PIPEENFB_01112",""
"group_1301","","hypothetical protein","5","5","1","14","3787","1","749","","194","194","194","","BGMKIKPO_01829","HGOKLDLI_00238","IGOCDMGC_00986","","","IFGBOHMA_01210","PIPEENFB_00434",""
"relJ","","Antitoxin RelJ","5","5","1","14","4156","2","463","","257","257","257","","BGMKIKPO_02992","HGOKLDLI_02097","","LKFOIOBI_02553","MOFHFCGN_01550","IFGBOHMA_02846","",""
"group_1324","","hypothetical protein","5","5","1","14","4155","2","464","","266","266","266","","BGMKIKPO_02993","HGOKLDLI_02098","","LKFOIOBI_02554","MOFHFCGN_01549","IFGBOHMA_02845","",""
"group_1346","","hypothetical protein","5","5","1","14","4247","2","530","","431","434","431","","","HGOKLDLI_02909","IGOCDMGC_01245","","MOFHFCGN_01561","","PIPEENFB_02823","EPECHOLL_00087"
"group_1935","","hypothetical protein","5","5","1","14","2058","1","155","","497","497","497","","BGMKIKPO_00110","HGOKLDLI_01617","IGOCDMGC_00417","","","IFGBOHMA_01666","PIPEENFB_01134",""
"group_2135","","hypothetical protein","5","5","1","14","2618","1","87","","197","197","197","","BGMKIKPO_00380","HGOKLDLI_01574","IGOCDMGC_00373","","","IFGBOHMA_01710","PIPEENFB_01089",""
"dppE","","Dipeptide-binding protein DppE","5","5","1","14","3515","578","1","","1652","1652","1652","","BGMKIKPO_00559","HGOKLDLI_00437","IGOCDMGC_00095","","","IFGBOHMA_01412","PIPEENFB_00232",""
"group_2145","","hypothetical protein","5","5","1","14","589","582","1","","119","119","119","","BGMKIKPO_00656","HGOKLDLI_02223","","","MOFHFCGN_02029","IFGBOHMA_00182","PIPEENFB_01634",""
"group_2163","","hypothetical protein","5","5","1","14","4535","1","490","","311","311","311","","BGMKIKPO_00759","HGOKLDLI_02928","","","MOFHFCGN_00690","IFGBOHMA_02819","PIPEENFB_02772",""
"group_2164","","hypothetical protein","5","5","1","14","4536","1","491","","101","101","101","","BGMKIKPO_00760","HGOKLDLI_02929","","","MOFHFCGN_00689","IFGBOHMA_02820","PIPEENFB_02771",""
"group_2170","","hypothetical protein","5","5","1","14","3743","1","321","","665","665","665","","BGMKIKPO_00810","HGOKLDLI_00276","IGOCDMGC_00256","","","IFGBOHMA_01251","PIPEENFB_00393",""
"tagU_1","","Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU","5","5","1","14","3744","1","322","","908","908","908","","BGMKIKPO_00811","HGOKLDLI_00275","IGOCDMGC_00257","","","IFGBOHMA_01250","PIPEENFB_00394",""
"group_2172","","hypothetical protein","5","5","1","14","3749","1","325","","311","311","311","","BGMKIKPO_00813","HGOKLDLI_00273","IGOCDMGC_00948","","","IFGBOHMA_01248","PIPEENFB_00396",""
"group_2173","","hypothetical protein","5","5","1","14","3750","1","326","","299","299","299","","BGMKIKPO_00814","HGOKLDLI_00272","IGOCDMGC_00949","","","IFGBOHMA_01247","PIPEENFB_00397",""
"group_2174","","hypothetical protein","5","5","1","14","3751","1","327","","152","152","152","","BGMKIKPO_00815","HGOKLDLI_00271","IGOCDMGC_00950","","","IFGBOHMA_01246","PIPEENFB_00398",""
"group_2175","","hypothetical protein","5","5","1","14","3755","1","332","","224","224","224","","BGMKIKPO_00817","HGOKLDLI_00269","IGOCDMGC_00952","","","IFGBOHMA_01244","PIPEENFB_00400",""
"group_2176","","hypothetical protein","5","5","1","14","3756","1","333","","1367","1367","1367","","BGMKIKPO_00818","HGOKLDLI_00268","IGOCDMGC_00953","","","IFGBOHMA_01243","PIPEENFB_00401",""
"group_2206","","hypothetical protein","5","5","1","14","1135","1","611","","755","755","755","","BGMKIKPO_00948","HGOKLDLI_01836","IGOCDMGC_01777","","","IFGBOHMA_02282","PIPEENFB_01147",""
"group_2215","","hypothetical protein","5","5","1","14","1126","1","602","","503","503","503","","BGMKIKPO_01092","HGOKLDLI_01845","IGOCDMGC_01775","","","IFGBOHMA_02284","PIPEENFB_00740",""
"group_2217","","hypothetical protein","5","5","1","14","1124","1","566","","164","164","164","","BGMKIKPO_01094","HGOKLDLI_01847","IGOCDMGC_01773","","","IFGBOHMA_02286","PIPEENFB_00742",""
"group_2218","","hypothetical protein","5","5","1","14","1123","1","565","","1793","1793","1793","","BGMKIKPO_01095","HGOKLDLI_01848","IGOCDMGC_01772","","","IFGBOHMA_02287","PIPEENFB_00743",""
"group_2219","","hypothetical protein","5","5","1","14","1122","1","564","","725","725","725","","BGMKIKPO_01096","HGOKLDLI_01849","IGOCDMGC_01771","","","IFGBOHMA_02288","PIPEENFB_00744",""
"group_2220","","hypothetical protein","5","5","1","14","1121","1","563","","341","341","341","","BGMKIKPO_01097","HGOKLDLI_01850","IGOCDMGC_01770","","","IFGBOHMA_02289","PIPEENFB_00745",""
"group_2221","","hypothetical protein","5","5","1","14","1120","1","562","","338","338","338","","BGMKIKPO_01098","HGOKLDLI_01851","IGOCDMGC_01769","","","IFGBOHMA_02290","PIPEENFB_00746",""
"group_2222","","hypothetical protein","5","5","1","14","1119","1","401","","269","269","269","","BGMKIKPO_01099","HGOKLDLI_01852","IGOCDMGC_01768","","","IFGBOHMA_02291","PIPEENFB_00747",""
"group_2225","","hypothetical protein","5","5","1","14","1411","4","32","","584","584","584","","BGMKIKPO_01223","HGOKLDLI_02016","","","MOFHFCGN_01679","IFGBOHMA_02122","PIPEENFB_02589",""
"group_2278","","hypothetical protein","5","5","1","14","2200","1","278","","236","236","236","","BGMKIKPO_01487","","IGOCDMGC_00397","","MOFHFCGN_01463","IFGBOHMA_01687","PIPEENFB_01113",""
"group_2279","","hypothetical protein","5","5","1","14","1791","2","454","","548","548","548","","BGMKIKPO_01594","HGOKLDLI_00003","IGOCDMGC_02147","","","IFGBOHMA_00976","PIPEENFB_00669",""
"norG","","HTH-type transcriptional regulator NorG","5","5","1","14","3933","100","2","","1424","1424","1424","","BGMKIKPO_01716","HGOKLDLI_00126","IGOCDMGC_01099","","","IFGBOHMA_01098","PIPEENFB_00547",""
"group_2283","","hypothetical protein","5","5","1","14","3816","1","783","","665","665","665","","BGMKIKPO_01809","HGOKLDLI_00219","IGOCDMGC_01006","","","IFGBOHMA_01191","PIPEENFB_00454",""
"group_2284","","hypothetical protein","5","5","1","14","3814","1","785","","188","188","188","","BGMKIKPO_01811","HGOKLDLI_00221","IGOCDMGC_01004","","","IFGBOHMA_01193","PIPEENFB_00452",""
"lexA_1","","LexA repressor","5","5","1","14","3813","1","786","","617","617","617","","BGMKIKPO_01812","HGOKLDLI_00222","IGOCDMGC_01003","","","IFGBOHMA_01194","PIPEENFB_00451",""
"group_2286","","hypothetical protein","5","5","1","14","3812","1","787","","209","209","209","","BGMKIKPO_01813","HGOKLDLI_00223","IGOCDMGC_01002","","","IFGBOHMA_01195","PIPEENFB_00450",""
"group_2287","","hypothetical protein","5","5","1","14","3809","1","789","","164","164","164","","BGMKIKPO_01815","HGOKLDLI_00225","IGOCDMGC_00999","","","IFGBOHMA_01197","PIPEENFB_00448",""
"group_2288","","hypothetical protein","5","5","1","14","3808","1","790","","206","206","206","","BGMKIKPO_01816","HGOKLDLI_00226","IGOCDMGC_00998","","","IFGBOHMA_01198","PIPEENFB_00447",""
"group_2289","","hypothetical protein","5","5","1","14","3806","1","773","","266","266","266","","BGMKIKPO_01818","HGOKLDLI_00228","IGOCDMGC_00996","","","IFGBOHMA_01200","PIPEENFB_00445",""
"group_2290","","hypothetical protein","5","5","1","14","3805","1","772","","485","485","485","","BGMKIKPO_01819","HGOKLDLI_00229","IGOCDMGC_00995","","","IFGBOHMA_01201","PIPEENFB_00444",""
"group_2292","","hypothetical protein","5","5","1","14","3793","1","755","","254","254","254","","BGMKIKPO_01823","HGOKLDLI_00233","IGOCDMGC_00991","","","IFGBOHMA_01205","PIPEENFB_00440",""
"group_2293","","hypothetical protein","5","5","1","14","3792","1","754","","755","755","755","","BGMKIKPO_01824","HGOKLDLI_00234","IGOCDMGC_00990","","","IFGBOHMA_01206","PIPEENFB_00439",""
"group_2295","","hypothetical protein","5","5","1","14","3789","1","751","","161","161","161","","BGMKIKPO_01826","HGOKLDLI_00236","IGOCDMGC_00988","","","IFGBOHMA_01208","PIPEENFB_00437",""
"group_2296","","hypothetical protein","5","5","1","14","3788","1","750","","404","404","404","","BGMKIKPO_01828","HGOKLDLI_00237","IGOCDMGC_00987","","","IFGBOHMA_01209","PIPEENFB_00435",""
"group_2297","","hypothetical protein","5","5","1","14","3786","1","748","","350","350","350","","BGMKIKPO_01830","HGOKLDLI_00239","IGOCDMGC_00985","","","IFGBOHMA_01211","PIPEENFB_00433",""
"group_2300","","hypothetical protein","5","5","1","14","3781","1","742","","185","185","185","","BGMKIKPO_01835","HGOKLDLI_00244","IGOCDMGC_00980","","","IFGBOHMA_01216","PIPEENFB_00428",""
"group_2301","","hypothetical protein","5","5","1","14","3779","1","740","","302","302","302","","BGMKIKPO_01837","HGOKLDLI_00246","IGOCDMGC_00978","","","IFGBOHMA_01218","PIPEENFB_00426",""
"group_2302","","hypothetical protein","5","5","1","14","3778","1","739","","170","170","170","","BGMKIKPO_01838","HGOKLDLI_00247","IGOCDMGC_00977","","","IFGBOHMA_01219","PIPEENFB_00425",""
"group_2303","","hypothetical protein","5","5","1","14","3777","1","738","","167","167","167","","BGMKIKPO_01839","HGOKLDLI_00248","IGOCDMGC_00976","","","IFGBOHMA_01220","PIPEENFB_00424",""
"group_2304","","hypothetical protein","5","5","1","14","3776","1","737","","212","212","212","","BGMKIKPO_01840","HGOKLDLI_00249","IGOCDMGC_00975","","","IFGBOHMA_01221","PIPEENFB_00423",""
"group_2305","","hypothetical protein","5","5","1","14","3774","1","732","","260","260","260","","BGMKIKPO_01842","HGOKLDLI_00251","IGOCDMGC_00973","","","IFGBOHMA_01223","PIPEENFB_00421",""
"group_2306","","hypothetical protein","5","5","1","14","3773","1","731","","131","131","131","","BGMKIKPO_01843","HGOKLDLI_00252","IGOCDMGC_00972","","","IFGBOHMA_01224","PIPEENFB_00420",""
"group_2307","","hypothetical protein","5","5","1","14","3772","1","730","","416","416","416","","BGMKIKPO_01844","HGOKLDLI_00253","IGOCDMGC_00971","","","IFGBOHMA_01225","PIPEENFB_00419",""
"group_2310","","hypothetical protein","5","5","1","14","3768","1","727","","1277","1277","1277","","BGMKIKPO_01847","HGOKLDLI_00256","IGOCDMGC_00968","","","IFGBOHMA_01228","PIPEENFB_00416",""
"group_2311","","hypothetical protein","5","5","1","14","3767","1","726","","1406","1406","1406","","BGMKIKPO_01848","HGOKLDLI_00257","IGOCDMGC_00967","","","IFGBOHMA_01229","PIPEENFB_00415",""
"group_2327","","hypothetical protein","5","5","1","14","2987","583","1","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","137","137","137","","BGMKIKPO_01923","","IGOCDMGC_00717","","MOFHFCGN_01141","IFGBOHMA_00825","PIPEENFB_02194",""
"wecD","","dTDP-fucosamine acetyltransferase","5","5","1","14","946","11","19","","608","608","608","","BGMKIKPO_01969","HGOKLDLI_01941","IGOCDMGC_00040","","","IFGBOHMA_02652","PIPEENFB_00837",""
"group_2334","","hypothetical protein","5","5","1","14","904","16","4","","110","110","110","","BGMKIKPO_01997","HGOKLDLI_01969","IGOCDMGC_00012","","","IFGBOHMA_02624","PIPEENFB_00865",""
"isaA_2","","putative transglycosylase IsaA","5","5","1","14","652","586","1","","737","737","737","","BGMKIKPO_02055","HGOKLDLI_02170","","","MOFHFCGN_02081","IFGBOHMA_00130","PIPEENFB_02069",""
"ddpF","","putative D,D-dipeptide transport ATP-binding protein DdpF","5","5","1","14","676","67","1","","689","689","689","","BGMKIKPO_02074","HGOKLDLI_02151","","","MOFHFCGN_02100","IFGBOHMA_00111","PIPEENFB_02088",""
"group_2359","","hypothetical protein","5","5","1","14","4141","2","475","","152","152","152","","BGMKIKPO_02315","","","LKFOIOBI_02511","MOFHFCGN_01543","IFGBOHMA_02534","PIPEENFB_01679",""
"group_2370","","hypothetical protein","5","5","1","14","3461","580","1","","224","224","224","","BGMKIKPO_02364","HGOKLDLI_00488","IGOCDMGC_01742","","","IFGBOHMA_01463","PIPEENFB_00181",""
"group_2379","","hypothetical protein","5","5","1","14","2906","585","1","","95","95","95","","BGMKIKPO_02777","HGOKLDLI_01200","IGOCDMGC_00641","","","IFGBOHMA_00749","PIPEENFB_02270",""
"group_2380","","hypothetical protein","5","5","1","14","1030","1","347","","161","161","161","","BGMKIKPO_02891","HGOKLDLI_01895","IGOCDMGC_02558","","","IFGBOHMA_02334","PIPEENFB_00791",""
"group_24","","hypothetical protein","5","5","1","14","1630","2","180","","959","959","959","","BGMKIKPO_02359","","","LKFOIOBI_02794","","IFGBOHMA_02471","PIPEENFB_01252","EPECHOLL_02125"
"rpoA_1","","DNA-directed RNA polymerase subunit alpha","5","5","1","14","1116","1","403","","3113","3113","3113","","BGMKIKPO_02966","HGOKLDLI_01854","IGOCDMGC_01766","","","IFGBOHMA_02293","PIPEENFB_00750",""
"group_2404","","hypothetical protein","5","5","1","14","1222","1","404","","1205","1205","1205","","BGMKIKPO_02967","HGOKLDLI_01855","IGOCDMGC_01765","","","IFGBOHMA_02294","PIPEENFB_00751",""
"rhlB","","ATP-dependent RNA helicase RhlB","5","5","1","14","1223","1","405","","1865","1865","1865","","BGMKIKPO_02968","HGOKLDLI_01856","IGOCDMGC_01764","","","IFGBOHMA_02295","PIPEENFB_00752",""
"mcrB","","5-methylcytosine-specific restriction enzyme B","5","5","1","14","1224","1","406","","2147","2147","2147","","BGMKIKPO_02969","HGOKLDLI_01857","IGOCDMGC_01763","","","IFGBOHMA_02296","PIPEENFB_00753",""
"mcrC","","Protein McrC","5","5","1","14","1225","1","407","","1034","1034","1034","","BGMKIKPO_02970","HGOKLDLI_01858","IGOCDMGC_01762","","","IFGBOHMA_02297","PIPEENFB_00754",""
"sau3AIR","","Type-2 restriction enzyme Sau3AI","5","5","1","14","1226","1","408","","1469","1469","1469","","BGMKIKPO_02971","HGOKLDLI_01859","IGOCDMGC_01761","","","IFGBOHMA_02298","PIPEENFB_00755",""
"banIM","","Modification methylase BanI","5","5","1","14","1227","1","409","","1238","1238","1238","","BGMKIKPO_02972","HGOKLDLI_01860","IGOCDMGC_01760","","","IFGBOHMA_02299","PIPEENFB_00756",""
"group_2436","","hypothetical protein","5","5","1","14","1937","5","9","","515","515","515","","BGMKIKPO_03050","HGOKLDLI_02614","IGOCDMGC_00599","","","IFGBOHMA_00079","PIPEENFB_01960",""
"group_2437","","hypothetical protein","5","5","1","14","1938","5","10","","149","149","149","","BGMKIKPO_03051","HGOKLDLI_02613","IGOCDMGC_00598","","","IFGBOHMA_00078","PIPEENFB_01961",""
"gph_1","","Phosphoglycolate phosphatase","5","5","1","14","3683","3","33","","659","659","659","","BGMKIKPO_03117","HGOKLDLI_00299","IGOCDMGC_00233","","","IFGBOHMA_01274","PIPEENFB_00370",""
"yycN_1","","putative N-acetyltransferase YycN","5","5","1","14","3682","3","34","","470","470","470","","BGMKIKPO_03118","HGOKLDLI_00300","IGOCDMGC_00232","","","IFGBOHMA_01275","PIPEENFB_00369",""
"group_2453","","hypothetical protein","5","5","1","14","1926","5","1","","593","593","593","","BGMKIKPO_03138","HGOKLDLI_02617","IGOCDMGC_02803","","","IFGBOHMA_00082","PIPEENFB_01957",""
"group_2454","","hypothetical protein","5","5","1","14","1927","5","2","","242","242","242","","BGMKIKPO_03139","HGOKLDLI_02616","IGOCDMGC_02804","","","IFGBOHMA_00081","PIPEENFB_01958",""
"group_2455","","hypothetical protein","5","5","1","14","1117","1","402","","293","293","293","","BGMKIKPO_03143","HGOKLDLI_01853","IGOCDMGC_01767","","","IFGBOHMA_02292","PIPEENFB_00749",""
"group_2644","","hypothetical protein","5","5","1","14","4353","2","18","","233","233","233","","","HGOKLDLI_02900","IGOCDMGC_01256","","MOFHFCGN_02824","IFGBOHMA_02621","PIPEENFB_02842",""
"group_2645","","hypothetical protein","5","5","1","14","4354","2","586","","506","506","506","","","HGOKLDLI_02901","IGOCDMGC_01255","","MOFHFCGN_02823","IFGBOHMA_02620","PIPEENFB_02843",""
"group_2648","","hypothetical protein","5","5","1","14","4293","2","532","","995","995","995","","","HGOKLDLI_02911","IGOCDMGC_01243","","MOFHFCGN_01563","IFGBOHMA_02614","PIPEENFB_02825",""
"group_2649","","hypothetical protein","5","5","1","14","4294","2","533","","878","878","878","","","HGOKLDLI_02912","IGOCDMGC_01242","","MOFHFCGN_01564","IFGBOHMA_02613","PIPEENFB_02826",""
"group_2661","","Oleate hydratase","5","5","1","14","4301","2","540","","1775","1775","1775","","","HGOKLDLI_02951","IGOCDMGC_01236","","MOFHFCGN_01570","IFGBOHMA_02607","PIPEENFB_02832",""
"group_2662","bin3_1","Putative transposon Tn552 DNA-invertase bin3","5","5","1","14","4300","2","539","","608","608","608","","","HGOKLDLI_02952","IGOCDMGC_01237","","MOFHFCGN_01569","IFGBOHMA_02608","PIPEENFB_02831",""
"group_313","","hypothetical protein","5","5","1","14","1192","1","355","","521","521","521","","BGMKIKPO_02876","HGOKLDLI_01880","IGOCDMGC_02543","","","IFGBOHMA_02319","PIPEENFB_00776",""
"group_315","cynR_4","HTH-type transcriptional regulator CynR","5","5","1","14","1193","1","353","","362","896","468","FAGDNHIP_02198","BGMKIKPO_02875","HGOKLDLI_01879","","","","IFGBOHMA_02318","PIPEENFB_00775",""
