"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Brevi_341_13.fa","Brevi_738_8.fa","Brevi_862_7.fa","Brevi_876_7.fa","Brevi_900_6.fa","Brevi_908_7.fa","Brevi_947_7.fa","Brevi_962_8.fa","Brevi_JB5.fa"
"group_1969","","hypothetical protein","7","7","1","56","2995","19","21","","251","251","251","AGEJDLBK_01740","MCCDGJGB_01739","GGCDANDK_03352","IHGJPHMH_00030","LDOPIMGM_00614","EBMLHIBA_00158","","","ADMANBBD_01722"
"group_1971","","hypothetical protein","7","7","1","56","2992","19","24","","713","713","713","AGEJDLBK_01743","MCCDGJGB_01742","GGCDANDK_03355","IHGJPHMH_00027","LDOPIMGM_00612","EBMLHIBA_00160","","","ADMANBBD_01719"
"group_1972","","hypothetical protein","7","7","1","56","2977","140","1","","587","587","587","AGEJDLBK_01746","MCCDGJGB_01745","GGCDANDK_00896","IHGJPHMH_00024","LDOPIMGM_00609","EBMLHIBA_00163","","","ADMANBBD_01716"
"pitA_1","","Low-affinity inorganic phosphate transporter 1","7","7","1","56","2974","141","2","","1010","1010","1010","AGEJDLBK_01748","MCCDGJGB_01747","GGCDANDK_00898","IHGJPHMH_00022","LDOPIMGM_00607","","IOFEINNK_00886","","ADMANBBD_01714"
"mutT1","","putative 8-oxo-dGTP diphosphatase 1","7","7","1","56","2963","208","1","","974","974","974","AGEJDLBK_01758","","GGCDANDK_00908","IHGJPHMH_00012","LDOPIMGM_00597","","IOFEINNK_00876","AGDBFNGI_02298","ADMANBBD_01704"
"yclQ","","putative ABC transporter solute-binding protein YclQ","7","7","1","56","6558","35","12","","992","992","992","AGEJDLBK_01841","MCCDGJGB_03206","GGCDANDK_03545","","","EBMLHIBA_03519","IOFEINNK_02632","AGDBFNGI_01076","ADMANBBD_00449"
"group_2009","","hypothetical protein","7","7","1","56","6587","54","9","","572","572","572","AGEJDLBK_01869","MCCDGJGB_03180","GGCDANDK_01822","IHGJPHMH_00454","","EBMLHIBA_03547","IOFEINNK_02659","AGDBFNGI_01049",""
"lcfB_3","","Long-chain-fatty-acid--CoA ligase","7","7","1","56","6671","48","3","","1544","1544","1544","AGEJDLBK_01902","MCCDGJGB_03135","","","LDOPIMGM_00119","EBMLHIBA_03580","IOFEINNK_02702","AGDBFNGI_01007","ADMANBBD_00383"
"group_2034","","hypothetical protein","7","7","1","56","6672","48","4","","1295","1295","1295","AGEJDLBK_01903","MCCDGJGB_03134","","","LDOPIMGM_00120","EBMLHIBA_03581","IOFEINNK_02703","AGDBFNGI_01006","ADMANBBD_00382"
"group_2035","","hypothetical protein","7","7","1","56","6673","48","5","","1913","1913","1913","AGEJDLBK_01904","MCCDGJGB_03133","","","LDOPIMGM_00121","EBMLHIBA_03582","IOFEINNK_02704","AGDBFNGI_01005","ADMANBBD_00381"
"group_2036","","Putative thiazole biosynthetic enzyme","7","7","1","56","6675","48","7","","1487","1487","1487","AGEJDLBK_01905","MCCDGJGB_03132","","","LDOPIMGM_00122","EBMLHIBA_03583","IOFEINNK_02705","AGDBFNGI_01004","ADMANBBD_00380"
"group_204","","hypothetical protein","7","7","1","56","5773","1","1871","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","248","923","626","AGEJDLBK_02770","MCCDGJGB_03710","GGCDANDK_03773","IHGJPHMH_03796","LDOPIMGM_03695","EBMLHIBA_02691","IOFEINNK_03769","",""
"cueR","","HTH-type transcriptional regulator CueR","7","7","1","56","6720","26","11","","767","767","767","AGEJDLBK_01936","","GGCDANDK_03113","IHGJPHMH_00388","LDOPIMGM_00153","","IOFEINNK_00005","AGDBFNGI_00973","ADMANBBD_00349"
"group_2081","","hypothetical protein","7","7","1","56","3521","10","36","","437","437","437","AGEJDLBK_01998","","GGCDANDK_03051","IHGJPHMH_02467","LDOPIMGM_01743","EBMLHIBA_01622","IOFEINNK_00536","","ADMANBBD_00096"
"group_2082","","hypothetical protein","7","7","1","56","3524","10","39","","233","233","233","AGEJDLBK_02001","","GGCDANDK_03054","IHGJPHMH_02464","LDOPIMGM_01746","EBMLHIBA_01619","IOFEINNK_00539","","ADMANBBD_00099"
"group_2092","","hypothetical protein","7","7","1","56","3309","73","9","","1679","1679","1679","AGEJDLBK_02078","MCCDGJGB_00985","GGCDANDK_03661","IHGJPHMH_02385","LDOPIMGM_03406","EBMLHIBA_01542","","AGDBFNGI_02858",""
"group_2094","","Putative peptide transport permease protein","7","7","1","56","3257","61","1","","983","983","983","AGEJDLBK_02123","MCCDGJGB_00940","GGCDANDK_00568","IHGJPHMH_02340","","EBMLHIBA_01497","","AGDBFNGI_02813","ADMANBBD_00224"
"group_2095","","Putative peptide transport permease protein","7","7","1","56","3256","61","2","","917","917","917","AGEJDLBK_02124","MCCDGJGB_00939","GGCDANDK_00567","IHGJPHMH_02339","","EBMLHIBA_01496","","AGDBFNGI_02812","ADMANBBD_00225"
"group_2096","","putative ABC transporter ATP-binding protein","7","7","1","56","3255","61","3","","2105","2105","2105","AGEJDLBK_02125","MCCDGJGB_00938","GGCDANDK_00566","IHGJPHMH_02338","","EBMLHIBA_01495","","AGDBFNGI_02811","ADMANBBD_00226"
"group_2097","","putative protein","7","7","1","56","3254","61","5","","1691","1691","1691","AGEJDLBK_02126","MCCDGJGB_00937","GGCDANDK_00565","IHGJPHMH_02337","","EBMLHIBA_01494","","AGDBFNGI_02810","ADMANBBD_00227"
"group_2098","","hypothetical protein","7","7","1","56","3253","61","4","","563","563","563","AGEJDLBK_02127","MCCDGJGB_00936","GGCDANDK_00564","IHGJPHMH_02336","","EBMLHIBA_01493","","AGDBFNGI_02809","ADMANBBD_00228"
"group_210","","hypothetical protein","7","7","1","56","7060","24","17","","1034","1217","1127","AGEJDLBK_02985","","GGCDANDK_01678","","LDOPIMGM_01156","EBMLHIBA_01770","IOFEINNK_00311","AGDBFNGI_03664","ADMANBBD_00617"
"group_2119","","hypothetical protein","7","7","1","56","5885","43","2","","1151","1151","1151","AGEJDLBK_02253","","GGCDANDK_03416","IHGJPHMH_01411","","EBMLHIBA_00786","IOFEINNK_02896","AGDBFNGI_01948","ADMANBBD_03664"
"hipO_3","","Hippurate hydrolase","7","7","1","56","2343","15","5","","1292","1310","1307","AGEJDLBK_02290","MCCDGJGB_01155","GGCDANDK_03221","","LDOPIMGM_01690","EBMLHIBA_01675","IOFEINNK_02436","AGDBFNGI_00112",""
"group_2130","","hypothetical protein","7","7","1","56","2850","115","2","","479","479","479","AGEJDLBK_02366","MCCDGJGB_01833","GGCDANDK_00984","","LDOPIMGM_00526","","IOFEINNK_00798","AGDBFNGI_02375","ADMANBBD_01632"
"ywrO","","General stress protein 14","7","7","1","56","4515","135","1","","668","668","668","AGEJDLBK_02469","","GGCDANDK_03099","IHGJPHMH_03673","LDOPIMGM_03130","EBMLHIBA_03291","IOFEINNK_02792","AGDBFNGI_03366",""
"group_2148","","hypothetical protein","7","7","1","56","4514","135","2","","542","542","542","AGEJDLBK_02470","","GGCDANDK_03100","IHGJPHMH_03674","LDOPIMGM_03129","EBMLHIBA_03292","IOFEINNK_02791","AGDBFNGI_03367",""
"group_2202","","hypothetical protein","7","7","1","56","1840","233","1","","569","569","569","AGEJDLBK_02624","MCCDGJGB_01274","GGCDANDK_00818","IHGJPHMH_03219","","EBMLHIBA_03146","IOFEINNK_00992","AGDBFNGI_01871",""
"group_2203","","hypothetical protein","7","7","1","56","1842","105","4","","440","440","440","AGEJDLBK_02626","","GGCDANDK_00820","IHGJPHMH_03221","","EBMLHIBA_03144","IOFEINNK_00990","AGDBFNGI_01873","ADMANBBD_02634"
"group_2213","","hypothetical protein","7","7","1","56","1898","37","7","","1706","1706","1706","AGEJDLBK_02662","MCCDGJGB_00519","GGCDANDK_00860","IHGJPHMH_00209","","EBMLHIBA_03108","IOFEINNK_00950","AGDBFNGI_01913",""
"group_2214","","hypothetical protein","7","7","1","56","1902","37","3","","488","488","488","AGEJDLBK_02666","MCCDGJGB_00515","GGCDANDK_00864","IHGJPHMH_00205","","EBMLHIBA_03104","IOFEINNK_00946","AGDBFNGI_01917",""
"group_2217","","hypothetical protein","7","7","1","56","3612","51","4","","1025","1025","1025","AGEJDLBK_02683","MCCDGJGB_00500","GGCDANDK_00878","","LDOPIMGM_00774","EBMLHIBA_03090","","AGDBFNGI_03447","ADMANBBD_02556"
"sdpA","","Sporulation-delaying protein SdpA","7","7","1","56","3594","1","170","","587","587","587","AGEJDLBK_02696","MCCDGJGB_00486","","IHGJPHMH_00179","","EBMLHIBA_00006","IOFEINNK_00918","AGDBFNGI_02041","ADMANBBD_01882"
"group_2229","","hypothetical protein","7","7","1","56","3186","47","6","","785","785","785","AGEJDLBK_02708","MCCDGJGB_00475","GGCDANDK_02433","IHGJPHMH_00168","","EBMLHIBA_00019","","AGDBFNGI_02029","ADMANBBD_01870"
"group_2230","","hypothetical protein","7","7","1","56","3184","47","7","","539","539","539","AGEJDLBK_02709","MCCDGJGB_00474","GGCDANDK_02434","IHGJPHMH_00167","","EBMLHIBA_00020","","AGDBFNGI_02028","ADMANBBD_01869"
"group_2274","","hypothetical protein","7","7","1","56","5163","33","1","","629","629","629","AGEJDLBK_02798","MCCDGJGB_00704","GGCDANDK_02114","","LDOPIMGM_00957","","IOFEINNK_00120","AGDBFNGI_00824","ADMANBBD_01070"
"glpD1","","Glycerol-3-phosphate dehydrogenase 1","7","7","1","56","5164","33","16","","1598","1598","1598","AGEJDLBK_02799","MCCDGJGB_00705","GGCDANDK_02115","","LDOPIMGM_00958","","IOFEINNK_00121","AGDBFNGI_00823","ADMANBBD_01069"
"dagK_1","","Diacylglycerol kinase","7","7","1","56","5177","33","14","","920","920","920","AGEJDLBK_02801","MCCDGJGB_00707","GGCDANDK_02117","","LDOPIMGM_00960","","IOFEINNK_00123","AGDBFNGI_00821","ADMANBBD_02509"
"group_2277","","hypothetical protein","7","7","1","56","5178","33","13","","347","347","347","AGEJDLBK_02802","MCCDGJGB_00708","GGCDANDK_02118","","LDOPIMGM_00961","","IOFEINNK_00124","AGDBFNGI_00820","ADMANBBD_02508"
"ydbM","","Putative acyl-CoA dehydrogenase YdbM","7","7","1","56","5226","94","2","","1205","1205","1205","AGEJDLBK_02836","","GGCDANDK_02160","IHGJPHMH_02538","","EBMLHIBA_02733","IOFEINNK_00157","AGDBFNGI_00786","ADMANBBD_02467"
"fabF_1","","3-oxoacyl-[acyl-carrier-protein] synthase 2","7","7","1","56","5227","94","3","","1367","1367","1367","AGEJDLBK_02837","","GGCDANDK_02161","IHGJPHMH_02539","","EBMLHIBA_02734","IOFEINNK_00158","AGDBFNGI_00785","ADMANBBD_02466"
"group_2312","","hypothetical protein","7","7","1","56","7162","78","6","","518","518","518","AGEJDLBK_02911","MCCDGJGB_01526","GGCDANDK_01600","IHGJPHMH_02611","LDOPIMGM_01078","EBMLHIBA_02807","IOFEINNK_00237","",""
"group_2313","","hypothetical protein","7","7","1","56","7161","78","5","","209","209","209","AGEJDLBK_02912","MCCDGJGB_01525","GGCDANDK_01601","","LDOPIMGM_01079","EBMLHIBA_02808","IOFEINNK_00238","","ADMANBBD_00540"
"group_2323","yyaP_4","putative protein YyaP","7","7","1","56","7094","21","2","","563","563","563","AGEJDLBK_02967","MCCDGJGB_01471","GGCDANDK_01660","","","EBMLHIBA_01788","IOFEINNK_00293","AGDBFNGI_03645","ADMANBBD_00597"
"trxC","","Putative thioredoxin 2","7","7","1","56","7073","86","5","","458","458","458","AGEJDLBK_02980","","GGCDANDK_01673","","LDOPIMGM_01151","EBMLHIBA_01775","IOFEINNK_00306","AGDBFNGI_03659","ADMANBBD_00612"
"fdnG","","Formate dehydrogenase, nitrate-inducible, major subunit","7","7","1","56","7070","234","1","","2924","2924","2924","AGEJDLBK_02983","MCCDGJGB_01455","GGCDANDK_01676","","LDOPIMGM_01154","","IOFEINNK_00309","AGDBFNGI_03662","ADMANBBD_00615"
"tam","","putative trans-aconitate 2-methyltransferase","7","7","1","56","7054","24","10","","590","590","590","AGEJDLBK_02989","MCCDGJGB_01446","GGCDANDK_01682","","LDOPIMGM_01161","EBMLHIBA_01766","","AGDBFNGI_03668","ADMANBBD_00621"
"nlhH_1","","Carboxylesterase NlhH","7","7","1","56","7053","24","8","","1103","1103","1103","AGEJDLBK_02990","MCCDGJGB_01445","GGCDANDK_01683","","LDOPIMGM_01162","EBMLHIBA_01765","","AGDBFNGI_03669","ADMANBBD_00622"
"selA","","L-seryl-tRNA(Sec) selenium transferase","7","7","1","56","7051","68","3","","1358","1358","1358","AGEJDLBK_02992","MCCDGJGB_01443","GGCDANDK_01685","","LDOPIMGM_01164","EBMLHIBA_01763","","AGDBFNGI_03671","ADMANBBD_00624"
"selB","","Selenocysteine-specific elongation factor","7","7","1","56","7050","68","4","","1823","1823","1823","AGEJDLBK_02993","MCCDGJGB_01442","GGCDANDK_01686","","LDOPIMGM_01165","EBMLHIBA_01762","","AGDBFNGI_03672","ADMANBBD_00625"
"group_2341","","Insertion element IS6110 uncharacterized 12.0 kDa protein","7","7","1","56","1395","1","1797","","311","311","311","AGEJDLBK_03008","MCCDGJGB_03778","GGCDANDK_03630","IHGJPHMH_03789","LDOPIMGM_03577","EBMLHIBA_03655","","AGDBFNGI_00191",""
"xerC_2","","Tyrosine recombinase XerC","7","7","1","56","6783","1","1801","","1202","1202","1202","AGEJDLBK_03010","MCCDGJGB_03716","GGCDANDK_03734","IHGJPHMH_00378","LDOPIMGM_03612","","","AGDBFNGI_03834","ADMANBBD_02071"
"xerC_3","","Tyrosine recombinase XerC","7","7","1","56","6389","1","1800","","956","956","956","AGEJDLBK_03011","MCCDGJGB_03717","GGCDANDK_03735","IHGJPHMH_00377","LDOPIMGM_03613","","","AGDBFNGI_03835","ADMANBBD_02070"
"xerD_1","","Tyrosine recombinase XerD","7","7","1","56","6388","1","1799","","1025","1025","1025","AGEJDLBK_03012","MCCDGJGB_03718","GGCDANDK_03736","IHGJPHMH_00376","LDOPIMGM_03614","","","AGDBFNGI_03836","ADMANBBD_02069"
"group_2360","","putative protein","7","7","1","56","5059","1","1424","","1223","1223","1223","AGEJDLBK_03085","MCCDGJGB_02261","GGCDANDK_00182","","LDOPIMGM_01507","","IOFEINNK_02180","AGDBFNGI_03323","ADMANBBD_01323"
"egtC","","Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase","7","7","1","56","5058","1","1423","","800","800","800","AGEJDLBK_03086","MCCDGJGB_02260","GGCDANDK_00183","","LDOPIMGM_01508","","IOFEINNK_02181","AGDBFNGI_03324","ADMANBBD_01324"
"group_2367","","hypothetical protein","7","7","1","56","1546","244","1","","659","659","659","AGEJDLBK_03109","MCCDGJGB_02359","GGCDANDK_00095","IHGJPHMH_00760","LDOPIMGM_01412","EBMLHIBA_01029","","AGDBFNGI_03229",""
"group_2370","","L,D-transpeptidase 5","7","7","1","56","1561","372","1","","1457","1457","1457","AGEJDLBK_03122","MCCDGJGB_02372","GGCDANDK_00082","IHGJPHMH_00773","LDOPIMGM_01399","EBMLHIBA_01016","IOFEINNK_02072","",""
"mvaA","","3-hydroxy-3-methylglutaryl-coenzyme A reductase","7","7","1","56","6916","60","4","","1274","1274","1274","AGEJDLBK_03149","","","IHGJPHMH_02800","LDOPIMGM_03284","EBMLHIBA_01868","IOFEINNK_02938","AGDBFNGI_02074","ADMANBBD_00027"
"liuE","","3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase","7","7","1","56","6914","60","5","","935","935","935","AGEJDLBK_03150","","","IHGJPHMH_02799","LDOPIMGM_03283","EBMLHIBA_01869","IOFEINNK_02937","AGDBFNGI_02073","ADMANBBD_00026"
"group_2383","","hypothetical protein","7","7","1","56","6913","60","6","","413","413","413","AGEJDLBK_03151","","","IHGJPHMH_02798","LDOPIMGM_03282","EBMLHIBA_01870","IOFEINNK_02936","AGDBFNGI_02072","ADMANBBD_00025"
"group_2384","","hypothetical protein","7","7","1","56","6992","60","1","","1385","1385","1385","AGEJDLBK_03152","","","IHGJPHMH_02797","LDOPIMGM_03281","EBMLHIBA_01871","IOFEINNK_02935","AGDBFNGI_02071","ADMANBBD_00024"
"viuB_2","","Vibriobactin utilization protein ViuB","7","7","1","56","7031","30","25","","1004","1004","1004","AGEJDLBK_03187","MCCDGJGB_01427","GGCDANDK_00696","IHGJPHMH_02767","","EBMLHIBA_01891","","AGDBFNGI_02047","ADMANBBD_00004"
"rspR_1","","HTH-type transcriptional repressor RspR","7","7","1","56","4801","1","1118","","683","731","696","","MCCDGJGB_00657","GGCDANDK_02953","IHGJPHMH_00274","LDOPIMGM_00911","EBMLHIBA_02542","","AGDBFNGI_00872","ADMANBBD_01116"
"wecD_2","","dTDP-fucosamine acetyltransferase","7","7","1","56","5473","40","28","","890","890","890","AGEJDLBK_03197","MCCDGJGB_02444","GGCDANDK_00009","","LDOPIMGM_01328","EBMLHIBA_00944","","AGDBFNGI_03141","ADMANBBD_02883"
"tdcF","","Putative reactive intermediate deaminase TdcF","7","7","1","56","1606","64","4","","473","473","473","AGEJDLBK_03227","","","IHGJPHMH_00814","LDOPIMGM_01358","EBMLHIBA_00974","IOFEINNK_02031","AGDBFNGI_03171","ADMANBBD_01027"
"group_2419","","hypothetical protein","7","7","1","56","2477","1","695","","677","677","677","AGEJDLBK_03275","","","IHGJPHMH_01873","LDOPIMGM_03489","EBMLHIBA_02508","IOFEINNK_03638","AGDBFNGI_03633","ADMANBBD_01932"
"alaS_2","","Alanine--tRNA ligase","7","7","1","56","3645","20","3","","1418","1418","1418","AGEJDLBK_03386","","GGCDANDK_03179","IHGJPHMH_01690","LDOPIMGM_01194","EBMLHIBA_03613","","AGDBFNGI_02974","ADMANBBD_01898"
"chrR","","Quinone reductase","7","7","1","56","3644","20","2","","572","572","572","AGEJDLBK_03387","","GGCDANDK_03180","IHGJPHMH_01691","LDOPIMGM_01195","EBMLHIBA_03612","","AGDBFNGI_02973","ADMANBBD_01897"
"nrdF2_2","","Ribonucleoside-diphosphate reductase subunit beta nrdF2","7","7","1","56","3643","20","1","","1025","1025","1025","AGEJDLBK_03388","","GGCDANDK_03181","IHGJPHMH_01692","LDOPIMGM_01196","EBMLHIBA_03611","","AGDBFNGI_02972","ADMANBBD_01896"
"nrdI_2","","Protein NrdI","7","7","1","56","3635","137","1","","482","485","484","AGEJDLBK_03390","","GGCDANDK_03183","IHGJPHMH_01694","LDOPIMGM_01198","EBMLHIBA_03609","","AGDBFNGI_02970","ADMANBBD_01894"
"group_2459","","hypothetical protein","7","7","1","56","3634","137","2","","245","245","245","AGEJDLBK_03391","","GGCDANDK_03184","IHGJPHMH_01695","LDOPIMGM_01199","EBMLHIBA_03608","","AGDBFNGI_02969","ADMANBBD_01893"
"group_25","","hypothetical protein","7","7","1","56","7092","21","15","","215","1190","935","AGEJDLBK_02969","MCCDGJGB_01469","GGCDANDK_01662","","LDOPIMGM_01140","EBMLHIBA_01786","","AGDBFNGI_03647","ADMANBBD_00599"
"group_2516","","hypothetical protein","7","7","1","56","6386","1","1821","","290","290","290","AGEJDLBK_03487","MCCDGJGB_03796","GGCDANDK_03397","IHGJPHMH_03341","LDOPIMGM_03672","","IOFEINNK_03102","","ADMANBBD_02074"
"group_2525","","hypothetical protein","7","7","1","56","4429","245","1","","782","782","782","AGEJDLBK_03517","","GGCDANDK_02929","IHGJPHMH_02703","LDOPIMGM_03591","EBMLHIBA_03357","","AGDBFNGI_03436","ADMANBBD_03406"
"ykoD_3","","Putative HMP/thiamine import ATP-binding protein YkoD","7","7","1","56","3648","20","6","","374","374","374","AGEJDLBK_03565","","GGCDANDK_03178","IHGJPHMH_01689","LDOPIMGM_01193","EBMLHIBA_03614","","AGDBFNGI_02975","ADMANBBD_01899"
"group_2550","","hypothetical protein","7","7","1","56","5307","1","216","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","176","176","176","AGEJDLBK_03588","","GGCDANDK_01038","IHGJPHMH_03805","LDOPIMGM_03687","EBMLHIBA_01454","","AGDBFNGI_02223","ADMANBBD_02359"
"leuS","","Leucine--tRNA ligase","7","7","1","56","333","307","1","","2924","2924","2924","","MCCDGJGB_00385","GGCDANDK_01252","IHGJPHMH_01639","LDOPIMGM_02541","EBMLHIBA_02249","IOFEINNK_01213","","ADMANBBD_03242"
"group_2594","","Long-chain-fatty-acid--CoA ligase FadD15","7","7","1","56","332","307","2","","1808","1808","1808","","MCCDGJGB_00386","GGCDANDK_01251","IHGJPHMH_01640","LDOPIMGM_02542","EBMLHIBA_02250","IOFEINNK_01212","","ADMANBBD_03243"
"dedA","","Protein DedA","7","7","1","56","330","290","1","","746","746","746","","MCCDGJGB_00388","GGCDANDK_01249","IHGJPHMH_01642","LDOPIMGM_02544","EBMLHIBA_02252","IOFEINNK_01210","","ADMANBBD_03245"
"yhjD","","Inner membrane protein YhjD","7","7","1","56","329","290","2","","1040","1040","1040","","MCCDGJGB_00389","GGCDANDK_01248","IHGJPHMH_01643","LDOPIMGM_02545","EBMLHIBA_02253","IOFEINNK_01209","","ADMANBBD_03246"
"group_2597","gap2_3","Glyceraldehyde-3-phosphate dehydrogenase-like protein","7","7","1","56","328","290","6","","1427","1427","1427","","MCCDGJGB_00390","GGCDANDK_01247","IHGJPHMH_01644","LDOPIMGM_02546","EBMLHIBA_02254","IOFEINNK_01208","","ADMANBBD_03247"
"group_2598","","hypothetical protein","7","7","1","56","327","290","5","","599","599","599","","MCCDGJGB_00391","GGCDANDK_01246","IHGJPHMH_01645","LDOPIMGM_02547","EBMLHIBA_02255","IOFEINNK_01207","","ADMANBBD_03248"
"ghrA","","Glyoxylate/hydroxypyruvate reductase A","7","7","1","56","326","290","4","","965","965","965","","MCCDGJGB_00392","GGCDANDK_01245","IHGJPHMH_01646","LDOPIMGM_02548","EBMLHIBA_02256","IOFEINNK_01206","","ADMANBBD_03249"
"bmr3_1","","Multidrug resistance protein 3","7","7","1","56","325","290","3","","1781","1781","1781","","MCCDGJGB_00393","GGCDANDK_01244","IHGJPHMH_01647","LDOPIMGM_02549","EBMLHIBA_02257","IOFEINNK_01205","","ADMANBBD_03250"
"dnaG","","DNA primase","7","7","1","56","71","306","2","","2219","2219","2219","","MCCDGJGB_00395","GGCDANDK_01242","IHGJPHMH_01649","LDOPIMGM_02551","EBMLHIBA_02259","IOFEINNK_01203","","ADMANBBD_03252"
"dgt_1","","Deoxyguanosinetriphosphate triphosphohydrolase-like protein","7","7","1","56","72","306","1","","1307","1307","1307","","MCCDGJGB_00396","GGCDANDK_01241","IHGJPHMH_01650","LDOPIMGM_02552","EBMLHIBA_02260","IOFEINNK_01202","","ADMANBBD_03253"
"ybiT","","putative ABC transporter ATP-binding protein YbiT","7","7","1","56","319","291","1","","1667","1667","1667","","MCCDGJGB_00398","GGCDANDK_01239","IHGJPHMH_01652","LDOPIMGM_02554","EBMLHIBA_02262","IOFEINNK_01200","","ADMANBBD_03255"
"group_2604","sutR_2","HTH-type transcriptional regulator SutR","7","7","1","56","318","291","2","","548","548","548","","MCCDGJGB_00399","GGCDANDK_01238","IHGJPHMH_01653","LDOPIMGM_02555","EBMLHIBA_02263","IOFEINNK_01199","","ADMANBBD_03256"
"doeA","","Ectoine hydrolase","7","7","1","56","316","291","3","","1328","1328","1328","","MCCDGJGB_00401","GGCDANDK_01236","IHGJPHMH_01655","LDOPIMGM_02557","EBMLHIBA_02265","IOFEINNK_01197","","ADMANBBD_03258"
"group_2613","","hypothetical protein","7","7","1","56","1876","287","1","","278","278","278","","MCCDGJGB_00527","GGCDANDK_00852","IHGJPHMH_03253","LDOPIMGM_00794","","IOFEINNK_00958","AGDBFNGI_01905","ADMANBBD_02602"
"group_2614","","hypothetical protein","7","7","1","56","1875","287","9","","425","425","425","","MCCDGJGB_00528","GGCDANDK_00851","IHGJPHMH_03252","LDOPIMGM_00795","","IOFEINNK_00959","AGDBFNGI_01904","ADMANBBD_02603"
"sigE","","ECF RNA polymerase sigma factor SigE","7","7","1","56","1873","287","7","","563","563","563","","MCCDGJGB_00530","GGCDANDK_00849","IHGJPHMH_03250","LDOPIMGM_00797","","IOFEINNK_00961","AGDBFNGI_01902","ADMANBBD_02605"
"group_2616","","Alkaline shock protein 23","7","7","1","56","1872","287","6","","467","467","467","","MCCDGJGB_00531","GGCDANDK_00848","IHGJPHMH_03249","LDOPIMGM_00798","","IOFEINNK_00962","AGDBFNGI_01901","ADMANBBD_02606"
"group_2617","","hypothetical protein","7","7","1","56","1871","287","5","","182","182","182","","MCCDGJGB_00532","GGCDANDK_00847","IHGJPHMH_03248","LDOPIMGM_00799","","IOFEINNK_00963","AGDBFNGI_01900","ADMANBBD_02607"
"group_2618","","hypothetical protein","7","7","1","56","1870","287","4","","368","368","368","","MCCDGJGB_00533","GGCDANDK_00846","IHGJPHMH_03247","LDOPIMGM_00800","","IOFEINNK_00964","AGDBFNGI_01899","ADMANBBD_02608"
"group_2619","","hypothetical protein","7","7","1","56","1869","287","3","","569","569","569","","MCCDGJGB_00534","GGCDANDK_00845","IHGJPHMH_03246","LDOPIMGM_00801","","IOFEINNK_00965","AGDBFNGI_01898","ADMANBBD_02609"
"yvoA_1","","HTH-type transcriptional repressor YvoA","7","7","1","56","4780","1","1016","","767","767","767","","MCCDGJGB_00623","GGCDANDK_01745","IHGJPHMH_00303","LDOPIMGM_00882","EBMLHIBA_02575","","AGDBFNGI_00890","ADMANBBD_01135"
"phnD","","Phosphate-import protein PhnD","7","7","1","56","4782","1","1014","","941","941","941","","MCCDGJGB_00625","GGCDANDK_01747","IHGJPHMH_00301","LDOPIMGM_00884","EBMLHIBA_02573","","AGDBFNGI_00888","ADMANBBD_01133"
"dctM_1","","C4-dicarboxylate TRAP transporter large permease protein DctM","7","7","1","56","4813","1","1133","","1583","1586","1585","","MCCDGJGB_00668","GGCDANDK_02942","IHGJPHMH_00261","LDOPIMGM_00922","EBMLHIBA_03364","","AGDBFNGI_00859","ADMANBBD_01105"
"fadI_1","","3-ketoacyl-CoA thiolase","7","7","1","56","4819","1","1138","","1163","1163","1163","","MCCDGJGB_00673","GGCDANDK_02937","IHGJPHMH_00256","LDOPIMGM_00927","EBMLHIBA_03369","","AGDBFNGI_00854","ADMANBBD_01100"
"antA","","Anthranilate 1,2-dioxygenase large subunit","7","7","1","56","4822","1","1141","","1352","1352","1352","","MCCDGJGB_00676","GGCDANDK_02934","IHGJPHMH_00252","LDOPIMGM_00930","EBMLHIBA_03372","","AGDBFNGI_00851","ADMANBBD_01097"
"hcaR_1","","Hca operon transcriptional activator HcaR","7","7","1","56","4823","1","1142","","941","941","941","","MCCDGJGB_00677","GGCDANDK_02933","IHGJPHMH_00251","LDOPIMGM_00931","EBMLHIBA_03373","","AGDBFNGI_00850","ADMANBBD_01096"
"group_2704","hipO_3","Hippurate hydrolase","7","7","1","56","4825","1","1144","","1223","1223","1223","","MCCDGJGB_00679","GGCDANDK_02090","IHGJPHMH_00249","LDOPIMGM_00933","EBMLHIBA_03375","","AGDBFNGI_00848","ADMANBBD_01094"
"group_2705","","hypothetical protein","7","7","1","56","5137","1","1146","","356","356","356","","MCCDGJGB_00681","GGCDANDK_02092","IHGJPHMH_00247","LDOPIMGM_00935","EBMLHIBA_03377","","AGDBFNGI_00846","ADMANBBD_01092"
"surA","","Chaperone SurA","7","7","1","56","5138","1","1088","","785","785","785","","MCCDGJGB_00683","GGCDANDK_02093","IHGJPHMH_00246","LDOPIMGM_00936","EBMLHIBA_03378","","AGDBFNGI_00845","ADMANBBD_01091"
