"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Brachy_341_9.fa","Brachy_738_10.fa","Brachy_862_8.fa","Brachy_876_9.fa","Brachy_900_8.fa","Brachy_908_11.fa","Brachy_947_11.fa","Brachy_962_10.fa","Brachy_JB7.fa"
"menD","","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","9","9","1","1","1580","","","","662","1919","1770","HAJKDPKL_00812","JOIMIODL_01968","FOMIDEFL_02874","AGBMBALL_00067","LJFCBDKD_01497","DPNJBGPE_00192","DNNBHHGK_01358","MCMEOHNO_01803","NGPGJBKC_00304"
"group_4980","","hypothetical protein","9","9","1","1","1664","","","","221","221","221","HAJKDPKL_00750","JOIMIODL_02029","FOMIDEFL_01792","AGBMBALL_00004","LJFCBDKD_01434","DPNJBGPE_00254","DNNBHHGK_01420","MCMEOHNO_01742","NGPGJBKC_02095"
"glpR_1","","Glycerol-3-phosphate regulon repressor","9","9","1","1","1301","","","","866","866","866","HAJKDPKL_00607","JOIMIODL_00720","FOMIDEFL_01375","AGBMBALL_00956","LJFCBDKD_01356","DPNJBGPE_02332","DNNBHHGK_02396","MCMEOHNO_02280","NGPGJBKC_00592"
"liaS_2","","Sensor histidine kinase LiaS","9","9","1","1","3049","","","","1814","1814","1814","HAJKDPKL_02541","JOIMIODL_01298","FOMIDEFL_00525","AGBMBALL_03357","LJFCBDKD_00747","DPNJBGPE_01130","DNNBHHGK_00932","MCMEOHNO_01279","NGPGJBKC_02295"
"trpD","","Anthranilate phosphoribosyltransferase","9","9","1","1","880","","","","1082","1082","1082","HAJKDPKL_01320","JOIMIODL_02349","FOMIDEFL_02225","AGBMBALL_02987","LJFCBDKD_01977","DPNJBGPE_01309","DNNBHHGK_02600","MCMEOHNO_01693","NGPGJBKC_00909"
"group_4984","","D-threonine aldolase","9","9","1","1","1128","","","","1244","1244","1244","HAJKDPKL_00468","JOIMIODL_01804","FOMIDEFL_02342","AGBMBALL_00881","LJFCBDKD_02743","DPNJBGPE_03235","DNNBHHGK_02210","MCMEOHNO_00675","NGPGJBKC_02403"
"proY","","Proline-specific permease ProY","9","9","1","1","492","","","","1388","1388","1388","HAJKDPKL_03579","JOIMIODL_00227","FOMIDEFL_00982","AGBMBALL_00759","LJFCBDKD_00354","DPNJBGPE_01713","DNNBHHGK_01582","MCMEOHNO_03027","NGPGJBKC_03337"
"group_4986","","hypothetical protein","9","9","1","1","2764","","","","1043","1058","1046","HAJKDPKL_01160","JOIMIODL_00624","FOMIDEFL_02113","AGBMBALL_00634","LJFCBDKD_01021","DPNJBGPE_00855","DNNBHHGK_00658","MCMEOHNO_01553","NGPGJBKC_02489"
"group_4987","","hypothetical protein","9","9","1","2","81","","","","1397","1397","1397","HAJKDPKL_01977","JOIMIODL_03382","FOMIDEFL_02778","AGBMBALL_02207","LJFCBDKD_00136","DPNJBGPE_00319","DNNBHHGK_00069","MCMEOHNO_02412","NGPGJBKC_01276"
"group_4988","","hypothetical protein","9","9","1","1","2525","","","","515","515","515","HAJKDPKL_00931","JOIMIODL_02067","FOMIDEFL_01885","AGBMBALL_00403","LJFCBDKD_01251","DPNJBGPE_02992","DNNBHHGK_02974","MCMEOHNO_02145","NGPGJBKC_00023"
"bioN","","Energy-coupling factor transporter transmembrane protein BioN","9","9","1","1","1142","","","","596","596","596","HAJKDPKL_00478","JOIMIODL_01814","FOMIDEFL_02361","AGBMBALL_00891","LJFCBDKD_02723","DPNJBGPE_03245","DNNBHHGK_02191","MCMEOHNO_00687","NGPGJBKC_00512"
"htrB","","Serine protease Do-like HtrB","9","9","1","1","1579","","","","1559","1559","1559","HAJKDPKL_00813","JOIMIODL_01967","FOMIDEFL_02875","AGBMBALL_00068","LJFCBDKD_01498","DPNJBGPE_00191","DNNBHHGK_01357","MCMEOHNO_01804","NGPGJBKC_00305"
"rpmB_2","","50S ribosomal protein L28","9","9","1","1","1066","","","","236","236","236","HAJKDPKL_00414","JOIMIODL_01748","FOMIDEFL_02284","AGBMBALL_00825","LJFCBDKD_02798","DPNJBGPE_02467","DNNBHHGK_03049","MCMEOHNO_00619","NGPGJBKC_01231"
"ddc","","L-2,4-diaminobutyrate decarboxylase","9","9","1","1","2324","","","","1658","1658","1658","HAJKDPKL_02623","JOIMIODL_00265","FOMIDEFL_03249","AGBMBALL_02716","LJFCBDKD_02623","DPNJBGPE_03195","DNNBHHGK_00181","MCMEOHNO_02743","NGPGJBKC_01271"
"group_4992","","hypothetical protein","9","9","1","1","1876","","","","581","581","581","HAJKDPKL_00297","JOIMIODL_02545","FOMIDEFL_00245","AGBMBALL_00333","LJFCBDKD_02877","DPNJBGPE_01950","DNNBHHGK_01146","MCMEOHNO_01980","NGPGJBKC_01572"
"adhA_2","","putative formaldehyde dehydrogenase AdhA","9","9","1","1","3331","","","","1076","1076","1076","HAJKDPKL_02289","JOIMIODL_00887","FOMIDEFL_00747","AGBMBALL_01339","LJFCBDKD_02330","DPNJBGPE_02095","DNNBHHGK_02732","MCMEOHNO_00493","NGPGJBKC_03210"
"group_4994","","hypothetical protein","9","9","1","1","320","","","","407","407","407","HAJKDPKL_01804","JOIMIODL_00079","FOMIDEFL_00823","AGBMBALL_01096","LJFCBDKD_00051","DPNJBGPE_01571","DNNBHHGK_02018","MCMEOHNO_00023","NGPGJBKC_03411"
"gsiB_1","","Glutathione-binding protein GsiB","9","9","1","1","2659","","","","1655","1655","1655","HAJKDPKL_01062","JOIMIODL_00526","FOMIDEFL_02015","AGBMBALL_00536","LJFCBDKD_01119","DPNJBGPE_00754","DNNBHHGK_00560","MCMEOHNO_01177","NGPGJBKC_02932"
"dapb1_1","","Dipeptidyl aminopeptidase BI","9","9","1","1","3988","","","","2138","2138","2138","HAJKDPKL_01492","JOIMIODL_01562","FOMIDEFL_00013","AGBMBALL_01889","LJFCBDKD_01787","DPNJBGPE_01817","DNNBHHGK_00493","MCMEOHNO_02856","NGPGJBKC_03450"
"yteP_4","","putative multiple-sugar transport system permease YteP","9","9","1","1","1073","","","","1010","1022","1011","HAJKDPKL_00421","JOIMIODL_01755","FOMIDEFL_02292","AGBMBALL_00832","LJFCBDKD_02791","DPNJBGPE_02474","DNNBHHGK_03056","MCMEOHNO_00626","NGPGJBKC_01238"
"lerK_1","","L-erythrulose 1-kinase","9","9","1","1","284","","","","1712","1712","1712","HAJKDPKL_01838","JOIMIODL_00045","FOMIDEFL_00789","AGBMBALL_01062","LJFCBDKD_00016","DPNJBGPE_01537","DNNBHHGK_02052","MCMEOHNO_00057","NGPGJBKC_00999"
"group_4999","","hypothetical protein","9","9","1","1","1078","","","","956","956","956","HAJKDPKL_00426","JOIMIODL_01760","FOMIDEFL_02297","AGBMBALL_00837","LJFCBDKD_02786","DPNJBGPE_02479","DNNBHHGK_03061","MCMEOHNO_00631","NGPGJBKC_01243"
"group_500","","hypothetical protein","9","9","1","1","1577","","","","1409","1493","1418","HAJKDPKL_00815","JOIMIODL_01965","FOMIDEFL_02877","AGBMBALL_00070","LJFCBDKD_01500","DPNJBGPE_00189","DNNBHHGK_01355","MCMEOHNO_01806","NGPGJBKC_00307"
"rapA","","RNA polymerase-associated protein RapA","9","9","1","1","1452","","","","1619","1619","1619","HAJKDPKL_00517","JOIMIODL_01836","FOMIDEFL_01453","AGBMBALL_00255","LJFCBDKD_01605","DPNJBGPE_03445","DNNBHHGK_03377","MCMEOHNO_03140","NGPGJBKC_02203"
"group_5001","","hypothetical protein","9","9","1","2","167","","","","869","869","869","HAJKDPKL_02052","JOIMIODL_03306","FOMIDEFL_02702","AGBMBALL_02132","LJFCBDKD_00717","DPNJBGPE_00394","DNNBHHGK_00145","MCMEOHNO_03185","NGPGJBKC_02050"
"group_5002","","Protein","9","9","1","1","1151","","","","1031","1031","1031","HAJKDPKL_00487","JOIMIODL_01823","FOMIDEFL_02154","AGBMBALL_00900","LJFCBDKD_02714","DPNJBGPE_03259","DNNBHHGK_02176","MCMEOHNO_00696","NGPGJBKC_02666"
"miaA","","tRNA dimethylallyltransferase","9","9","1","1","2942","","","","1016","1019","1018","HAJKDPKL_02441","JOIMIODL_01400","FOMIDEFL_00423","AGBMBALL_01639","LJFCBDKD_00847","DPNJBGPE_01030","DNNBHHGK_00832","MCMEOHNO_01379","NGPGJBKC_01383"
"ylmA_1","","putative ABC transporter ATP-binding protein YlmA","9","9","1","1","4027","","","","833","833","833","HAJKDPKL_01454","JOIMIODL_01600","FOMIDEFL_00051","AGBMBALL_01850","LJFCBDKD_01749","DPNJBGPE_00455","DNNBHHGK_00454","MCMEOHNO_02818","NGPGJBKC_00289"
"hsaB_2","","Flavin-dependent monooxygenase, reductase subunit HsaB","9","9","1","1","162","","","","527","527","527","HAJKDPKL_03503","JOIMIODL_00315","FOMIDEFL_03151","AGBMBALL_02658","LJFCBDKD_02553","DPNJBGPE_01431","DNNBHHGK_02285","MCMEOHNO_03341","NGPGJBKC_00615"
"sigH","","ECF RNA polymerase sigma factor SigH","9","9","1","1","3222","","","","755","755","755","HAJKDPKL_02189","JOIMIODL_00779","FOMIDEFL_02522","AGBMBALL_01235","LJFCBDKD_02432","DPNJBGPE_02196","DNNBHHGK_02832","MCMEOHNO_00593","NGPGJBKC_01091"
"glcR","","HTH-type transcriptional repressor GlcR","9","9","1","1","4312","","","","806","806","806","HAJKDPKL_01650","JOIMIODL_03620","FOMIDEFL_01181","AGBMBALL_02600","LJFCBDKD_01633","DPNJBGPE_01411","DNNBHHGK_03190","MCMEOHNO_00858","NGPGJBKC_03478"
"group_5008","","hypothetical protein","9","9","1","1","3602","","","","296","296","296","HAJKDPKL_03110","JOIMIODL_03044","FOMIDEFL_01510","AGBMBALL_02494","LJFCBDKD_02071","DPNJBGPE_02682","DNNBHHGK_01658","MCMEOHNO_00227","NGPGJBKC_00268"
"pknE_1","","Serine/threonine-protein kinase PknE","9","9","1","1","347","","","","725","734","733","HAJKDPKL_01778","JOIMIODL_00105","FOMIDEFL_00849","AGBMBALL_01902","LJFCBDKD_00074","DPNJBGPE_01597","DNNBHHGK_01992","MCMEOHNO_01023","NGPGJBKC_01203"
"group_501","lacF_1","Lactose transport system permease protein LacF","9","9","1","1","1548","","","","914","968","962","HAJKDPKL_00844","JOIMIODL_01936","FOMIDEFL_02906","AGBMBALL_00098","LJFCBDKD_01529","DPNJBGPE_00160","DNNBHHGK_01326","MCMEOHNO_01835","NGPGJBKC_00336"
"def_2","","Peptide deformylase","9","9","1","1","3196","","","","851","851","851","HAJKDPKL_01576","JOIMIODL_01190","FOMIDEFL_00633","AGBMBALL_02003","LJFCBDKD_03126","DPNJBGPE_02856","DNNBHHGK_01870","MCMEOHNO_00970","NGPGJBKC_01857"
"trpG","","Anthranilate synthase component 2","9","9","1","1","2436","","","","713","713","713","HAJKDPKL_02676","JOIMIODL_02627","FOMIDEFL_03477","AGBMBALL_02771","LJFCBDKD_00394","DPNJBGPE_03181","DNNBHHGK_00234","MCMEOHNO_02690","NGPGJBKC_00478"
"group_5012","iolE_1","Inosose dehydratase","9","9","1","1","4510","","","","899","899","899","HAJKDPKL_02783","JOIMIODL_01111","FOMIDEFL_00924","AGBMBALL_03134","LJFCBDKD_00213","DPNJBGPE_03100","DNNBHHGK_02461","MCMEOHNO_02578","NGPGJBKC_00173"
"group_5013","","putative ABC transporter ATP-binding protein","9","9","1","1","2457","","","","2180","2195","2181","HAJKDPKL_02658","JOIMIODL_02645","FOMIDEFL_02602","AGBMBALL_02753","LJFCBDKD_00412","DPNJBGPE_03163","DNNBHHGK_00216","MCMEOHNO_02708","NGPGJBKC_01732"
"group_5014","","hypothetical protein","9","9","1","1","29","","","","869","869","869","HAJKDPKL_03295","JOIMIODL_00984","FOMIDEFL_01727","AGBMBALL_02885","LJFCBDKD_00492","DPNJBGPE_02272","DNNBHHGK_01451","MCMEOHNO_00083","NGPGJBKC_03114"
"group_5015","","hypothetical protein","9","9","1","1","3684","","","","950","962","960","HAJKDPKL_03409","JOIMIODL_01721","FOMIDEFL_02647","AGBMBALL_02300","LJFCBDKD_01898","DPNJBGPE_03371","DNNBHHGK_03103","MCMEOHNO_01576","NGPGJBKC_02953"
"mtlD","","Mannitol-1-phosphate 5-dehydrogenase","9","9","1","1","2572","","","","1145","1145","1145","HAJKDPKL_00978","JOIMIODL_00443","FOMIDEFL_01932","AGBMBALL_00451","LJFCBDKD_01203","DPNJBGPE_00670","DNNBHHGK_02926","MCMEOHNO_02192","NGPGJBKC_00960"
"yknY_1","","putative ABC transporter ATP-binding protein YknY","9","9","1","1","4093","","","","821","821","821","HAJKDPKL_00009","JOIMIODL_02851","FOMIDEFL_01321","AGBMBALL_01409","LJFCBDKD_00671","DPNJBGPE_00511","DNNBHHGK_00404","MCMEOHNO_00721","NGPGJBKC_01958"
"carA2","","zeta-carotene-forming phytoene desaturase","9","9","1","1","1103","","","","1718","1718","1718","HAJKDPKL_00451","JOIMIODL_01785","FOMIDEFL_02322","AGBMBALL_00862","LJFCBDKD_02761","DPNJBGPE_03217","DNNBHHGK_02228","MCMEOHNO_00656","NGPGJBKC_01066"
"group_5019","","hypothetical protein","9","9","1","1","2696","","","","884","884","884","HAJKDPKL_01097","JOIMIODL_00561","FOMIDEFL_02050","AGBMBALL_00571","LJFCBDKD_01084","DPNJBGPE_00790","DNNBHHGK_00595","MCMEOHNO_01142","NGPGJBKC_02425"
"group_502","","hypothetical protein","9","9","1","1","1535","","","","455","455","455","HAJKDPKL_00857","JOIMIODL_01923","FOMIDEFL_02919","AGBMBALL_00111","LJFCBDKD_01542","DPNJBGPE_00147","DNNBHHGK_01313","MCMEOHNO_01848","NGPGJBKC_00349"
"fepD_1","","Ferric enterobactin transport system permease protein FepD","9","9","1","1","3043","","","","1103","1103","1103","HAJKDPKL_02536","JOIMIODL_01304","FOMIDEFL_00519","AGBMBALL_01544","LJFCBDKD_00752","DPNJBGPE_01125","DNNBHHGK_00927","MCMEOHNO_01284","NGPGJBKC_02289"
"rluC","","Ribosomal large subunit pseudouridine synthase C","9","9","1","1","4391","","","","965","965","965","HAJKDPKL_03347","JOIMIODL_03667","FOMIDEFL_03560","AGBMBALL_03466","LJFCBDKD_01697","DPNJBGPE_03405","DNNBHHGK_03124","MCMEOHNO_03291","NGPGJBKC_02784"
"acr3","","Arsenical-resistance protein Acr3","9","9","1","1","477","","","","1151","1151","1151","HAJKDPKL_03564","JOIMIODL_00208","FOMIDEFL_00996","AGBMBALL_00773","LJFCBDKD_00339","DPNJBGPE_01698","DNNBHHGK_01568","MCMEOHNO_03046","NGPGJBKC_03357"
"group_5023","","hypothetical protein","9","9","1","1","582","","","","1571","1571","1571","HAJKDPKL_03157","JOIMIODL_02996","FOMIDEFL_01457","AGBMBALL_02541","LJFCBDKD_03566","DPNJBGPE_02735","DNNBHHGK_01611","MCMEOHNO_00180","NGPGJBKC_01331"
"group_5024","","hypothetical protein","9","9","1","1","41","","","","1427","1427","1427","HAJKDPKL_03283","JOIMIODL_00996","FOMIDEFL_01739","AGBMBALL_02873","LJFCBDKD_00480","DPNJBGPE_02260","DNNBHHGK_01463","MCMEOHNO_00095","NGPGJBKC_03102"
"group_5025","","Polyphosphate:AMP/ADP phosphotransferase","9","9","1","1","762","","","","869","869","869","HAJKDPKL_02130","JOIMIODL_02267","FOMIDEFL_03339","AGBMBALL_02611","LJFCBDKD_03359","DPNJBGPE_02445","DNNBHHGK_02110","MCMEOHNO_02955","NGPGJBKC_02535"
"group_5026","","hypothetical protein","9","9","1","1","3685","","","","797","797","797","HAJKDPKL_03410","JOIMIODL_01722","FOMIDEFL_02646","AGBMBALL_02299","LJFCBDKD_01897","DPNJBGPE_03370","DNNBHHGK_03102","MCMEOHNO_01577","NGPGJBKC_02954"
"group_5027","","HTH-type transcriptional repressor","9","9","1","1","2717","","","","593","593","593","HAJKDPKL_01118","JOIMIODL_00582","FOMIDEFL_02071","AGBMBALL_00592","LJFCBDKD_01063","DPNJBGPE_00811","DNNBHHGK_00616","MCMEOHNO_01121","NGPGJBKC_02446"
"yfcA_2","","putative membrane transporter protein YfcA","9","9","1","1","758","","","","887","887","887","HAJKDPKL_02134","JOIMIODL_02263","FOMIDEFL_03335","AGBMBALL_02615","LJFCBDKD_03355","DPNJBGPE_02441","DNNBHHGK_02114","MCMEOHNO_02959","NGPGJBKC_02539"
"group_5029","","hypothetical protein","9","9","1","1","3538","","","","1889","1889","1889","HAJKDPKL_03026","JOIMIODL_03218","FOMIDEFL_01578","AGBMBALL_02427","LJFCBDKD_02127","DPNJBGPE_02626","DNNBHHGK_01714","MCMEOHNO_00295","NGPGJBKC_00779"
"mmgC_2","","Acyl-CoA dehydrogenase","9","9","1","1","1511","","","","434","2147","1956","HAJKDPKL_00881","JOIMIODL_01899","FOMIDEFL_02943","AGBMBALL_00135","LJFCBDKD_01566","DPNJBGPE_00123","DNNBHHGK_01289","MCMEOHNO_01872","NGPGJBKC_00858"
"sutR","","HTH-type transcriptional regulator SutR","9","9","1","1","1284","","","","575","575","575","HAJKDPKL_00622","JOIMIODL_00734","FOMIDEFL_01361","AGBMBALL_00942","LJFCBDKD_01341","DPNJBGPE_02317","DNNBHHGK_02382","MCMEOHNO_02265","NGPGJBKC_00577"
"rhlE_2","","ATP-dependent RNA helicase RhlE","9","9","1","1","3173","","","","1757","1781","1763","HAJKDPKL_01561","JOIMIODL_01205","FOMIDEFL_00618","AGBMBALL_02018","LJFCBDKD_03236","DPNJBGPE_02840","DNNBHHGK_01855","MCMEOHNO_00985","NGPGJBKC_01872"
"ruvC","","Crossover junction endodeoxyribonuclease RuvC","9","9","1","1","853","","","","590","590","590","HAJKDPKL_01347","JOIMIODL_02322","FOMIDEFL_02198","AGBMBALL_02960","LJFCBDKD_01950","DPNJBGPE_01282","DNNBHHGK_02573","MCMEOHNO_02589","NGPGJBKC_00694"
"srpR_1","","HTH-type transcriptional regulator SrpR","9","9","1","1","3675","","","","641","641","641","HAJKDPKL_03400","JOIMIODL_01712","FOMIDEFL_02656","AGBMBALL_02309","LJFCBDKD_01907","DPNJBGPE_03380","DNNBHHGK_03112","MCMEOHNO_01567","NGPGJBKC_02944"
"group_5034","","hypothetical protein","9","9","1","1","1049","","","","1343","1343","1343","HAJKDPKL_00400","JOIMIODL_01686","FOMIDEFL_03490","AGBMBALL_00663","LJFCBDKD_03225","DPNJBGPE_03451","DNNBHHGK_03298","MCMEOHNO_02481","NGPGJBKC_00552"
"fdhD","","Sulfur carrier protein FdhD","9","9","1","1","301","","","","872","872","872","HAJKDPKL_01822","JOIMIODL_00061","FOMIDEFL_00805","AGBMBALL_01078","LJFCBDKD_00033","DPNJBGPE_01553","DNNBHHGK_02036","MCMEOHNO_00041","NGPGJBKC_00983"
"cysA_2","","Sulfate/thiosulfate import ATP-binding protein CysA","9","9","1","1","3442","","","","1085","1085","1085","HAJKDPKL_02937","JOIMIODL_02826","FOMIDEFL_01667","AGBMBALL_02338","LJFCBDKD_02215","DPNJBGPE_02537","DNNBHHGK_01803","MCMEOHNO_00384","NGPGJBKC_02226"
"menE","","putative 2-succinylbenzoate--CoA ligase","9","9","1","1","1584","","","","1391","1406","1400","HAJKDPKL_00808","JOIMIODL_01972","FOMIDEFL_02870","AGBMBALL_00063","LJFCBDKD_01493","DPNJBGPE_00196","DNNBHHGK_01362","MCMEOHNO_01799","NGPGJBKC_01683"
"galS","","Catabolite control protein A","9","9","1","1","178","","","","1094","1094","1094","HAJKDPKL_03519","JOIMIODL_00331","FOMIDEFL_03135","AGBMBALL_02675","LJFCBDKD_02537","DPNJBGPE_01447","DNNBHHGK_02302","MCMEOHNO_03325","NGPGJBKC_00415"
"rimI_2","","N-alpha-acetyltransferase RimI","9","9","1","1","4447","","","","551","551","551","HAJKDPKL_03177","JOIMIODL_03456","FOMIDEFL_03376","AGBMBALL_02801","LJFCBDKD_03425","DPNJBGPE_02765","DNNBHHGK_03220","MCMEOHNO_00159","NGPGJBKC_00506"
"group_504","","putative HTH-type transcriptional regulator","9","9","1","1","1510","","","","614","638","622","HAJKDPKL_00882","JOIMIODL_01898","FOMIDEFL_02944","AGBMBALL_00136","LJFCBDKD_01567","DPNJBGPE_00122","DNNBHHGK_01288","MCMEOHNO_01873","NGPGJBKC_00859"
"group_5040","","hypothetical protein","9","9","1","1","1954","","","","827","827","827","HAJKDPKL_00215","JOIMIODL_02463","FOMIDEFL_02415","AGBMBALL_01185","LJFCBDKD_02959","DPNJBGPE_01868","DNNBHHGK_01228","MCMEOHNO_02062","NGPGJBKC_02384"
"moaE2_2","","Molybdopterin molybdenumtransferase 2","9","9","1","1","2737","","","","1283","1283","1283","HAJKDPKL_01137","JOIMIODL_00601","FOMIDEFL_02090","AGBMBALL_00611","LJFCBDKD_01044","DPNJBGPE_00830","DNNBHHGK_00635","MCMEOHNO_01102","NGPGJBKC_02466"
"group_5042","","hypothetical protein","9","9","1","1","3154","","","","257","257","257","HAJKDPKL_01542","JOIMIODL_01225","FOMIDEFL_00598","AGBMBALL_02038","LJFCBDKD_03255","DPNJBGPE_02821","DNNBHHGK_01090","MCMEOHNO_01005","NGPGJBKC_01891"
"group_5043","","hypothetical protein","9","9","1","1","2791","","","","302","302","302","HAJKDPKL_01187","JOIMIODL_01546","FOMIDEFL_00277","AGBMBALL_01786","LJFCBDKD_00994","DPNJBGPE_00882","DNNBHHGK_00686","MCMEOHNO_01526","NGPGJBKC_02516"
"pimB_2","","GDP-mannose-dependent monoacylated alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase","9","9","1","2","86","","","","1112","1112","1112","HAJKDPKL_01982","JOIMIODL_03377","FOMIDEFL_02773","AGBMBALL_02202","LJFCBDKD_00141","DPNJBGPE_00324","DNNBHHGK_00074","MCMEOHNO_02407","NGPGJBKC_00183"
"dmg","","Dimethylglycine oxidase","9","9","1","1","3198","","","","2519","2519","2519","HAJKDPKL_03621","JOIMIODL_01865","FOMIDEFL_03170","AGBMBALL_03252","LJFCBDKD_02609","DPNJBGPE_01781","DNNBHHGK_02858","MCMEOHNO_03125","NGPGJBKC_01705"
"group_5046","","hypothetical protein","9","9","1","1","2505","","","","902","902","902","HAJKDPKL_00912","JOIMIODL_02086","FOMIDEFL_01866","AGBMBALL_00383","LJFCBDKD_01270","DPNJBGPE_02973","DNNBHHGK_02993","MCMEOHNO_02125","NGPGJBKC_01026"
"group_5047","","hypothetical protein","9","9","1","1","3986","","","","956","965","957","HAJKDPKL_01494","JOIMIODL_01560","FOMIDEFL_00011","AGBMBALL_01891","LJFCBDKD_01789","DPNJBGPE_01819","DNNBHHGK_00495","MCMEOHNO_02858","NGPGJBKC_03448"
"lolD","","Lipoprotein-releasing system ATP-binding protein LolD","9","9","1","1","2829","","","","680","680","680","HAJKDPKL_01224","JOIMIODL_01510","FOMIDEFL_00313","AGBMBALL_01749","LJFCBDKD_00957","DPNJBGPE_00919","DNNBHHGK_00722","MCMEOHNO_01490","NGPGJBKC_02752"
"mrpC","","Na(+)/H(+) antiporter subunit C","9","9","1","1","1951","","","","656","656","656","HAJKDPKL_00212","JOIMIODL_02460","FOMIDEFL_02412","AGBMBALL_01188","LJFCBDKD_02962","DPNJBGPE_01865","DNNBHHGK_01231","MCMEOHNO_02065","NGPGJBKC_02381"
"rlmG","","Ribosomal RNA large subunit methyltransferase G","9","9","1","1","801","","","","1307","1307","1307","HAJKDPKL_00891","JOIMIODL_01889","FOMIDEFL_02953","AGBMBALL_00145","LJFCBDKD_01576","DPNJBGPE_00099","DNNBHHGK_01279","MCMEOHNO_01882","NGPGJBKC_03054"
"anmK","","Anhydro-N-acetylmuramic acid kinase","9","9","1","1","1975","","","","1217","1232","1227","HAJKDPKL_00235","JOIMIODL_02483","FOMIDEFL_02435","AGBMBALL_01165","LJFCBDKD_02939","DPNJBGPE_01888","DNNBHHGK_01208","MCMEOHNO_02042","NGPGJBKC_02606"
"group_5051","","hypothetical protein","9","9","1","1","3199","","","","785","788","787","HAJKDPKL_03622","JOIMIODL_01866","FOMIDEFL_03169","AGBMBALL_03251","LJFCBDKD_02608","DPNJBGPE_01780","DNNBHHGK_02857","MCMEOHNO_03126","NGPGJBKC_01703"
"group_5052","","hypothetical protein","9","9","1","1","977","","","","743","743","743","HAJKDPKL_00335","JOIMIODL_00392","FOMIDEFL_03076","AGBMBALL_00722","LJFCBDKD_03193","DPNJBGPE_01232","DNNBHHGK_02650","MCMEOHNO_02540","NGPGJBKC_01534"
"group_5053","","hypothetical protein","9","9","1","1","4130","","","","782","782","782","HAJKDPKL_00022","JOIMIODL_02864","FOMIDEFL_01308","AGBMBALL_01422","LJFCBDKD_00657","DPNJBGPE_00524","DNNBHHGK_00377","MCMEOHNO_00734","NGPGJBKC_01971"
"group_5054","","hypothetical protein","9","9","1","1","4504","","","","479","479","479","HAJKDPKL_02776","JOIMIODL_01117","FOMIDEFL_00930","AGBMBALL_03128","LJFCBDKD_00219","DPNJBGPE_01767","DNNBHHGK_02454","MCMEOHNO_02572","NGPGJBKC_01773"
"thiD_1","","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","9","9","1","1","1628","","","","947","947","947","HAJKDPKL_00777","JOIMIODL_02003","FOMIDEFL_01819","AGBMBALL_00031","LJFCBDKD_01461","DPNJBGPE_00227","DNNBHHGK_01393","MCMEOHNO_01768","NGPGJBKC_02123"
"fabD","","Malonyl CoA-acyl carrier protein transacylase","9","9","1","1","3548","","","","950","950","950","HAJKDPKL_03065","JOIMIODL_03098","FOMIDEFL_01555","AGBMBALL_02449","LJFCBDKD_02116","DPNJBGPE_02637","DNNBHHGK_01703","MCMEOHNO_00272","NGPGJBKC_00768"
"group_5057","","hypothetical protein","9","9","1","1","3994","","","","509","515","509","HAJKDPKL_01486","JOIMIODL_01568","FOMIDEFL_00019","AGBMBALL_01883","LJFCBDKD_01781","DPNJBGPE_01811","DNNBHHGK_00487","MCMEOHNO_02850","NGPGJBKC_03456"
"group_5058","","hypothetical protein","9","9","1","1","735","","","","311","311","311","HAJKDPKL_02156","JOIMIODL_02241","FOMIDEFL_03313","AGBMBALL_03066","LJFCBDKD_03333","DPNJBGPE_02419","DNNBHHGK_02136","MCMEOHNO_02981","NGPGJBKC_03282"
"group_5059","","hypothetical protein","9","9","1","1","4568","","","","788","788","788","HAJKDPKL_02840","JOIMIODL_01056","FOMIDEFL_00869","AGBMBALL_03190","LJFCBDKD_02689","DPNJBGPE_03043","DNNBHHGK_02517","MCMEOHNO_01947","NGPGJBKC_00381"
"group_506","","hypothetical protein","9","9","1","1","798","","","","734","734","734","HAJKDPKL_00894","JOIMIODL_01886","FOMIDEFL_02956","AGBMBALL_00148","LJFCBDKD_03490","DPNJBGPE_00096","DNNBHHGK_01276","MCMEOHNO_01885","NGPGJBKC_03057"
"group_5060","","hypothetical protein","9","9","1","1","77","","","","1187","1187","1187","HAJKDPKL_03243","JOIMIODL_01031","FOMIDEFL_01779","AGBMBALL_02839","LJFCBDKD_00444","DPNJBGPE_02219","DNNBHHGK_01498","MCMEOHNO_00129","NGPGJBKC_03045"
"group_5061","","hypothetical protein","9","9","1","1","3639","","","","1241","1250","1246","HAJKDPKL_03147","JOIMIODL_03007","FOMIDEFL_01473","AGBMBALL_02531","LJFCBDKD_02034","DPNJBGPE_02719","DNNBHHGK_01621","MCMEOHNO_00190","NGPGJBKC_01342"
"rkpK","","UDP-glucose 6-dehydrogenase","9","9","1","1","4180","","","","1442","1442","1442","HAJKDPKL_00064","JOIMIODL_02908","FOMIDEFL_01263","AGBMBALL_01465","LJFCBDKD_00615","DPNJBGPE_00569","DNNBHHGK_00334","MCMEOHNO_00776","NGPGJBKC_02192"
