Function	Enzyme_EC	KO	gene	gene2	gene3
 myosin light chain 3		K12749	MYL3		
 myosin light chain 3		K12749	MYL3		
 myosin light chain 3		K12749	MYL3		
 myosin light chain 3		K12749	MYL3		
 myosin light chain 3		K12749	MYL3		
 myosin light chain 3		K12749	MYL3		
 myosin light chain 4		K12750	MYL4		
 myosin light chain 4		K12750	MYL4		
 myosin light chain 4		K12750	MYL4		
 myosin light chain 4		K12750	MYL4		
 myosin regulatory light chain 5		K12753	MYL5		
 myosin regulatory light chain 5		K12753	MYL5		
 myosin regulatory light chain 5		K12753	MYL5		
 myosin regulatory light chain 5		K12753	MYL5		
 myosin light chain 6		K12751	MYL6		
 myosin light chain 6		K12751	MYL6		
 myosin light chain 6		K12751	MYL6		
 myosin light chain 6		K12751	MYL6		
 myosin light chain 6		K12751	MYL6		
 myosin regulatory light chain 7		K12754	MYL7		
 myosin regulatory light chain 7		K12754	MYL7		
 myosin regulatory light chain 7		K12754	MYL7		
 myosin regulatory light chain 7		K12754	MYL7		
 myosin regulatory light chain 9		K12755	MYL9		
 myosin regulatory light chain 9		K12755	MYL9		
 myosin regulatory light chain 9		K12755	MYL9		
 myosin regulatory light chain 9		K12755	MYL9		
 myosin regulatory light chain 9		K12755	MYL9		
 myosin regulatory light chain 9		K12755	MYL9		
 myosin regulatory light chain 9		K12755	MYL9		
 myosin regulatory light chain 9		K12755	MYL9		
 myosin regulatory light chain 9		K12755	MYL9		
 myosin regulatory light chain 9		K12755	MYL9		
 E3 ubiquitin-protein ligase MYLIP 	2.3.2.27	K10637	MYLIP	MIR	praB
 E3 ubiquitin-protein ligase MYLIP 	2.3.2.27	K10637	MYLIP	MIR	praB
 E3 ubiquitin-protein ligase MYLIP 	2.3.2.27	K10637	MYLIP	MIR	praB
 myosin-light-chain kinase 	2.7.11.18	K00907	MYLK		
 myosin-light-chain kinase 	2.7.11.18	K00907	MYLK		
 myosin-light-chain kinase 	2.7.11.18	K00907	MYLK		
 myosin-light-chain kinase 	2.7.11.18	K00907	MYLK		
 myosin-light-chain kinase 	2.7.11.18	K00907	MYLK		
 myosin-light-chain kinase 	2.7.11.18	K00907	MYLK		
 myosin-light-chain kinase 	2.7.11.18	K00907	MYLK		
 myosin-light-chain kinase 	2.7.11.18	K00907	MYLK		
 myosin-light-chain kinase 	2.7.11.18	K00907	MYLK		
 myosin-light-chain kinase 	2.7.11.18	K00907	MYLK		
 fast skeletal myosin light chain 2		K12758	MYLPF		
 fast skeletal myosin light chain 2		K12758	MYLPF		
 fast skeletal myosin light chain 2		K12758	MYLPF		
 fast skeletal myosin light chain 2		K12758	MYLPF		
 fast skeletal myosin light chain 2		K12758	MYLPF		
 metallothionein		K21609	mymT		
 myosin I		K10356	MYO1		
 myosin I		K10356	MYO1		
 myosin I		K10356	MYO1		
 myosin I		K10356	MYO1		
 myosin I		K10356	MYO1		
 myosin X		K12559	MYO10		
 myosin X		K12559	MYO10		
 myosin XV		K10361	MYO15		
 myosin XV		K10361	MYO15		
 myosin XVI		K17481	MYO16		
 myosin XVI		K17481	MYO16		
 myosin XVIII		K10362	MYO18		
 myosin XVIII		K10362	MYO18		
 myosin III 	2.7.11.1	K08834	MYO3	DFNB30	
 myosin III 	2.7.11.1	K08834	MYO3	DFNB30	
 myosin III 	2.7.11.1	K08834	MYO3	DFNB30	
 myosin V		K10357	MYO5		
 myosin V		K10357	MYO5		
 myosin V		K10357	MYO5		
 myosin V		K10357	MYO5		
 myosin VI		K10358	MYO6		
 myosin VI		K10358	MYO6		
 myosin VI		K10358	MYO6		
 myosin VIIa		K10359	MYO7A	USH1B	
 myosin VIIa		K10359	MYO7A	USH1B	
 myosin VIIa		K10359	MYO7A	USH1B	
 myosin VIIb		K21868	MYO7B		
 myosin VIIb		K21868	MYO7B		
 myosin IX		K10360	MYO9		
 myosin IX		K10360	MYO9		
 myocardin		K22526	MYOCD		
 myogenic factor 3		K09064	MYOD1	MYF3	
 myoferlin		K22125	MYOF		
 myotilin		K19875	MYOT		
 myotilin		K19875	MYOT		
 myopalladin		K22028	MYPN		
 Rab effector MyRIP		K22237	MYRIP		
 protein MYSM1		K11865	MYSM1		
 protein MYSM1		K11865	MYSM1		
 histone acetyltransferase MYST1 	2.3.1.48	K11308	MYST1	MOF	
 histone acetyltransferase MYST2 	2.3.1.48	K11307	MYST2	HBO1	
 histone acetyltransferase MYST3 	2.3.1.48	K11305	MYST3	KAT6A	
 histone acetyltransferase MYST3 	2.3.1.48	K11305	MYST3	KAT6A	
 histone acetyltransferase MYST4 	2.3.1.48	K11306	MYST4	KAT6B	
 myocardial zonula adherens protein		K22031	MYZAP		
 myeloid zinc finger protein 1		K09221	MZF1		IFA38
 mitotic-spindle organizing protein 1		K18633	MZT1	GIP1	IFA38
 mitotic-spindle organizing protein 2A/2B		K16574	MZT2A_B		IFA38
 mitotic-spindle organizing protein 2A/2B		K16574	MZT2A_B		IFA38
 measles nucleoprotein		K19380	N		
 measles nucleoprotein		K19380	N		
 NEDD4-binding protein 2 	3.-.-.-	K15720	N4BP2		
 norbelladine O-methyltransferase 	2.1.1.336	K21311	N4OMT		
 release factor glutamine methyltransferase 	2.1.1.297	K19589	N6AMT1		
 norreticuline-7-O-methyltransferase 	2.1.1.-	K22088	N7OMT		
 neuraminidase 	3.2.1.18	K19392	NA		
 neuraminidase 	3.2.1.18	K19392	NA		FAD8
 N-alpha-acetyltransferase 10/11 	2.3.1.255	K20791	NAA10_11	ARD1_2	CER10
 N-alpha-acetyltransferase 15/16, NatA auxiliary subunit		K20792	NAA15_16		CER10
 N-terminal acetyltransferase B complex catalytic subunit 	2.3.1.254	K17972	NAA20	NAT3	CER10
 N-terminal acetyltransferase B complex non-catalytic subunit		K17973	NAA25	MDM20	
 N-alpha-acetyltransferase 30 	2.3.1.256	K00670	NAA30	MAK3	
 N-alpha-acetyltransferase 35, NatC auxiliary subunit		K20823	NAA35	MAK10	
 N-alpha-acetyltransferase 38, NatC auxiliary subunit		K20824	NAA38		
 N-alpha-acetyltransferase 40 	2.3.1.257	K20794	NAA40	NAT4	
 N-alpha-acetyltransferase 50 	2.3.1.258	K20793	NAA50	NAT5	
 N-alpha-acetyltransferase 60 	2.3.1.259	K21121	NAA60		
 N-acylethanolamine-hydrolysing acid amidase 	3.5.1.-	K13720	NAAA		
 5-nitroanthranilic acid aminohydrolase 	3.5.99.8	K20763	naaA		
 5-nitrosalicylate dioxygenase 	1.13.11.64	K18250	naaB		
 2-oxo-3-(5-oxofuran-2-ylidene)propanoate lactonase 	3.1.1.91	K20759	naaC		
 N-acetylated-alpha-linked acidic dipeptidase 	3.4.17.21	K01301	NAALAD		
 nicotianamine aminotransferase 	2.6.1.80	K14271	NAAT		
 NGFI-A-binding protein		K22388	NAB		
 nuclear polyadenylated RNA-binding protein 3		K15561	NAB3		
 LysR family transcriptional regulator, nitrogen assimilation regulatory protein		K19338	nac		
 quinolinate synthase 	2.5.1.72	K03517	nadA		
 L-aspartate oxidase 	1.4.3.16	K00278	nadB		
 L-aspartate oxidase 	1.4.3.16	K00278	nadB		
 nicotinate-nucleotide pyrophosphorylase (carboxylating) 	2.4.2.19	K00767	nadC	QPRT	
 nicotinate-nucleotide adenylyltransferase 	2.7.7.18	K00969	nadD		
 NAD+ synthase 	6.3.1.5	K01916	nadE		
 nicotinamide-nucleotide adenylyltransferase 	2.7.7.1	K00952	nadM		
 HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes 	2.7.7.1 2.7.1.22	K06211	nadR		
 HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes 	2.7.7.1 2.7.1.22	K06211	nadR		
 aspartate dehydrogenase 	1.4.1.21	K06989	nadX	ASPDH	
 amyloid beta precursor protein binding protein 1		K04532	NAE1	APPBP1	
 amyloid beta precursor protein binding protein 1		K04532	NAE1	APPBP1	
 H/ACA ribonucleoprotein complex non-core subunit NAF1		K14763	NAF1		
 alpha-N-acetylgalactosaminidase 	3.2.1.49	K01204	NAGA		
 alpha-N-acetylgalactosaminidase 	3.2.1.49	K01204	NAGA		
 N-acetylglucosamine-6-phosphate deacetylase 	3.5.1.25	K01443	nagA	AMDHD2	
 glucosamine-6-phosphate deaminase 	3.5.99.6	K02564	nagB	GNPDA	
 N-acetylglucosamine repressor		K02565	nagC		
 NagD protein		K02566	nagD		
 salicylate 5-hydroxylase large subunit 	1.14.13.172	K18242	nagG		
 salicylate 5-hydroxylase small subunit 	1.14.13.172	K18243	nagH		
 fumarylpyruvate hydrolase 	3.7.1.20	K16165	nagK		
 N-acetylglucosamine kinase 	2.7.1.59	K00884	NAGK	nagK	
 maleylpyruvate isomerase 	5.2.1.4	K01801	nagL		
 MFS transporter, FHS family, Na+ dependent glucose transporter 1		K08175	NAGLT1		
 alpha-N-acetylglucosaminidase 	3.2.1.50	K01205	NAGLU		
 alpha-N-acetylglucosaminidase 	3.2.1.50	K01205	NAGLU		
 alpha-N-acetylglucosaminidase 	3.2.1.50	K01205	NAGLU		
 N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase 	3.1.4.45	K01125	NAGPA		
 N-acetylglutamate synthase 	2.3.1.1	K11067	NAGS		
 3-hydroxybenzoate 6-monooxygenase 	1.14.13.24	K22270	nagX		
 beta-N-acetylhexosaminidase 	3.2.1.52	K01207	nagZ		
 beta-N-acetylhexosaminidase 	3.2.1.52	K01207	nagZ		
 beta-N-acetylhexosaminidase 	3.2.1.52	K01207	nagZ		
 naphthalene 1,2-dioxygenase ferredoxin reductase component 	1.18.1.7	K14581	nahAa	nagAa	
 naphthalene 1,2-dioxygenase ferredoxin reductase component 	1.18.1.7	K14581	nahAa	nagAa	
 naphthalene 1,2-dioxygenase ferredoxin reductase component 	1.18.1.7	K14581	nahAa	nagAa	
 naphthalene 1,2-dioxygenase ferredoxin reductase component 	1.18.1.7	K14581	nahAa	nagAa	
 naphthalene 1,2-dioxygenase ferredoxin reductase component 	1.18.1.7	K14581	nahAa	nagAa	
 naphthalene 1,2-dioxygenase ferredoxin component		K14578	nahAb	nagAb	
 naphthalene 1,2-dioxygenase ferredoxin component		K14578	nahAb	nagAb	
 naphthalene 1,2-dioxygenase ferredoxin component		K14578	nahAb	nagAb	
 naphthalene 1,2-dioxygenase ferredoxin component		K14578	nahAb	nagAb	
 naphthalene 1,2-dioxygenase ferredoxin component		K14578	nahAb	nagAb	
 naphthalene 1,2-dioxygenase subunit alpha 	1.14.12.12 1.14.12.23 1.14.12.24	K14579	nahAc	ndoB	
 naphthalene 1,2-dioxygenase subunit alpha 	1.14.12.12 1.14.12.23 1.14.12.24	K14579	nahAc	ndoB	
 naphthalene 1,2-dioxygenase subunit alpha 	1.14.12.12 1.14.12.23 1.14.12.24	K14579	nahAc	ndoB	
 naphthalene 1,2-dioxygenase subunit alpha 	1.14.12.12 1.14.12.23 1.14.12.24	K14579	nahAc	ndoB	
 naphthalene 1,2-dioxygenase subunit alpha 	1.14.12.12 1.14.12.23 1.14.12.24	K14579	nahAc	ndoB	
 naphthalene 1,2-dioxygenase subunit beta 	1.14.12.12 1.14.12.23 1.14.12.24	K14580	nahAd	ndoC	
 naphthalene 1,2-dioxygenase subunit beta 	1.14.12.12 1.14.12.23 1.14.12.24	K14580	nahAd	ndoC	
 naphthalene 1,2-dioxygenase subunit beta 	1.14.12.12 1.14.12.23 1.14.12.24	K14580	nahAd	ndoC	
 naphthalene 1,2-dioxygenase subunit beta 	1.14.12.12 1.14.12.23 1.14.12.24	K14580	nahAd	ndoC	
 naphthalene 1,2-dioxygenase subunit beta 	1.14.12.12 1.14.12.23 1.14.12.24	K14580	nahAd	ndoC	
 cis-1,2-dihydro-1,2-dihydroxynaphthalene/dibenzothiophene dihydrodiol dehydrogenase 	1.3.1.29 1.3.1.60	K14582	nahB	doxE	
 cis-1,2-dihydro-1,2-dihydroxynaphthalene/dibenzothiophene dihydrodiol dehydrogenase 	1.3.1.29 1.3.1.60	K14582	nahB	doxE	
 1,2-dihydroxynaphthalene dioxygenase 	1.13.11.56	K14583	nahC		
 2-hydroxychromene-2-carboxylate isomerase 	5.99.1.4	K14584	nahD		
 trans-o-hydroxybenzylidenepyruvate hydratase-aldolase 	4.1.2.45	K14585	nahE		
 salicylaldehyde dehydrogenase 	1.2.1.65	K00152	nahF		
 N-acetylhexosamine 1-kinase 	2.7.1.162	K13059	nahK	lnpB	
 baculoviral IAP repeat-containing protein 1		K12807	NAIP	BIRC1	
 baculoviral IAP repeat-containing protein 1		K12807	NAIP	BIRC1	
 baculoviral IAP repeat-containing protein 1		K12807	NAIP	BIRC1	
 TetR/AcrR family transcriptional regulator, transcriptional repressor NalC		K18130	nalC		
 TetR/AcrR family transcriptional regulator, transcriptional repressor NalC		K18130	nalC		
 sodium leak channel non-selective protein		K21863	NALCN		
 TetR/AcrR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon		K18135	nalD		
 TetR/AcrR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance operon		K18135	nalD		
 UDP-MurNAc hydroxylase		K14952	namH		
 nicotinamide phosphoribosyltransferase 	2.4.2.12	K03462	NAMPT		
 nicotinamide phosphoribosyltransferase 	2.4.2.12	K03462	NAMPT		
 NET1-associated nuclear protein 1 (U3 small nucleolar RNA-associated protein 17)		K14552	NAN1	UTP17	
 NET1-associated nuclear protein 1 (U3 small nucleolar RNA-associated protein 17)		K14552	NAN1	UTP17	
 N-acylglucosamine-6-phosphate 2-epimerase 	5.1.3.9	K01788	nanE		
 N-acetylmannosamine-6-phosphate 2-epimerase / N-acetylmannosamine kinase 	5.1.3.9 2.7.1.60	K13967	nanEK		
 N-acylmannosamine kinase 	2.7.1.60	K00885	nanK		
 N-acetylneuraminate epimerase 	5.1.3.24	K17948	nanM		
 homeobox protein Nanog		K10164	NANOG		
 homeobox protein Nanog		K10164	NANOG		
 homeobox protein Nanog		K10164	NANOG		
 protein nanos 1		K18741	NANOS1	NOS1	SSB4
 protein nanos 2		K18760	NANOS2	NOS2	
 protein nanos 3		K18761	NANOS3	NOS3	
 N-acylneuraminate-9-phosphatase 	3.1.3.29	K01097	NANP		
 N-acylneuraminate-9-phosphatase 	3.1.3.29	K01097	NANP		
 GntR family transcriptional regulator, sialic acid-inducible nan operon repressor		K22104	nanR		
 9-O-acetyl-N-acetylneuraminic acid deacetylase		K22111	nanS		
 sialic acid synthase 	2.5.1.56 2.5.1.57 2.5.1.132	K05304	NANS	SAS	
 MFS transporter, SHS family, sialic acid transporter		K03290	nanT		
 nitroalkane oxidase 	1.7.3.1	K19823	NAO		
 nucleosome assembly protein 1-like 1		K11279	NAP1L1	NRP	
 nucleosome assembly protein 1-like 2		K11280	NAP1L2	BPX	
 nucleosome assembly protein 1-like 3		K11281	NAP1L3	BNAP	
 nucleosome assembly protein 1-like 4		K11282	NAP1L4	NAP2	
 nucleosome assembly protein 1-like 5		K11283	NAP1L5		
 periplasmic nitrate reductase NapA 	1.7.99.-	K02567	napA		
 alpha-soluble NSF attachment protein		K15296	NAPA	SNAPA	
 alpha-soluble NSF attachment protein		K15296	NAPA	SNAPA	
 alpha-soluble NSF attachment protein		K15296	NAPA	SNAPA	
 cytochrome c-type protein NapB		K02568	napB		
 cytochrome c-type protein NapC		K02569	napC		
 periplasmic nitrate reductase NapD		K02570	napD		
 periplasmic nitrate reductase NapE		K02571	napE		
 N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D 	3.1.4.54	K13985	NAPEPLD		
 ferredoxin-type protein NapF		K02572	napF		
 ferredoxin-type protein NapG		K02573	napG		
 gamma-soluble NSF attachment protein		K21198	NAPG	SNAPG	
 ferredoxin-type protein NapH		K02574	napH		
 N-acetylpuromycin N-acetylhydrolase		K12636	napH		
 napsin-A 	3.4.23.-	K08565	NAPSA		
 napsin-A 	3.4.23.-	K08565	NAPSA		
 ferredoxin-nitrate reductase 	1.7.7.2	K00367	narB		
 cytochrome b-561		K15879	narC		
 nitrate reductase / nitrite oxidoreductase, alpha subunit 	1.7.5.1 1.7.99.-	K00370	narG	narZ	
 nitrate reductase / nitrite oxidoreductase, alpha subunit 	1.7.5.1 1.7.99.-	K00370	narG	narZ	
 nitrate reductase / nitrite oxidoreductase, beta subunit 	1.7.5.1 1.7.99.-	K00371	narH	narY	
 nitrate reductase / nitrite oxidoreductase, beta subunit 	1.7.5.1 1.7.99.-	K00371	narH	narY	
 nitrate reductase gamma subunit 	1.7.5.1 1.7.99.-	K00374	narI	narV	
 nitrate reductase gamma subunit 	1.7.5.1 1.7.99.-	K00374	narI	narV	
 nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW		K00373	narJ	narW	
 two-component system, NarL family, nitrate/nitrite response regulator NarL		K07684	narL		
 two-component system, NarL family, nitrate/nitrite response regulator NarL		K07684	narL		
 two-component system, NarL family, nitrate/nitrite response regulator NarP		K07685	narP		
 two-component system, NarL family, nitrate/nitrite response regulator NarP		K07685	narP		
 two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ 	2.7.13.3	K07674	narQ		
 two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ 	2.7.13.3	K07674	narQ		
 two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ 	2.7.13.3	K07674	narQ		
 asparaginyl-tRNA synthetase 	6.1.1.22	K01893	NARS	asnS	
 asparaginyl-tRNA synthetase 	6.1.1.22	K01893	NARS	asnS	
 asparaginyl-tRNA synthetase 	6.1.1.22	K01893	NARS	asnS	
 MFS transporter, NNP family, putative nitrate transporter		K10850	narT		
 MFS transporter, NNP family, putative nitrate transporter		K10850	narT		
 two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX 	2.7.13.3	K07673	narX		
 two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX 	2.7.13.3	K07673	narX		
 two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX 	2.7.13.3	K07673	narX		
 assimilatory nitrate reductase catalytic subunit 	1.7.99.-	K00372	nasA		
 assimilatory nitrate reductase electron transfer subunit 	1.7.99.-	K00360	nasB		
 nuclear autoantigenic sperm protein		K11291	NASP		
 two-component system, oxyanion-binding sensor		K22067	nasS		
 two-component system, response regulator / RNA-binding antiterminator		K07183	nasT		
 arylamine N-acetyltransferase 	2.3.1.5	K00622	nat		
 arylamine N-acetyltransferase 	2.3.1.5	K00622	nat		
 arylamine N-acetyltransferase 	2.3.1.5	K00622	nat		
 arylamine N-acetyltransferase 	2.3.1.5	K00622	nat		
 isonocardicin synthase 	2.5.1.38	K19104	nat		
 N-acetyltransferase 10 	2.3.1.-	K14521	NAT10	KRE33	
 N-acetyltransferase 10 	2.3.1.-	K14521	NAT10	KRE33	
 N-terminal acetyltransferase 2		K20815	NAT2		
 N-acetyltransferase 8 	2.3.1.80 2.3.1.-	K20838	NAT8		
 aspartate N-acetyltransferase 	2.3.1.17	K18309	NAT8L		
 sodium transport system ATP-binding protein 	7.2.2.3	K09697	natA		
 sodium transport system ATP-binding protein 	7.2.2.3	K09697	natA		
 sodium transport system ATP-binding protein 	7.2.2.3	K09697	natA		
 L-ornithine N5-acetyltransferase 	2.3.1.-	K22883	NATA1		
 sodium transport system permease protein		K09696	natB		
 sodium transport system permease protein		K09696	natB		
 sodium transport system permease protein		K09696	natB		
 neutral amino acid transport system permease protein		K11955	natC		
 neutral amino acid transport system permease protein		K11955	natC		
 neutral amino acid transport system permease protein		K11956	natD		
 neutral amino acid transport system permease protein		K11956	natD		
 neutral amino acid transport system ATP-binding protein		K11958	natE		
 neutral amino acid transport system ATP-binding protein		K11958	natE		
 two-component system, LytTR family, sensor histidine kinase NatK 	2.7.13.3	K11640	natK		
 two-component system, LytTR family, sensor histidine kinase NatK 	2.7.13.3	K11640	natK		
 two-component system, LytTR family, sensor histidine kinase NatK 	2.7.13.3	K11640	natK		
 two-component system, LytTR family, response regulator NatR		K11641	natR		
 two-component system, LytTR family, response regulator NatR		K11641	natR		
 neuron navigator 1		K16776	NAV1		
 neuron navigator 2 	3.6.4.12	K19483	NAV2		
 2-nitrobenzoate nitroreductase 	1.7.1.-	K15055	nbaA		
 2-hydroxylaminobenzoate mutase 	5.4.99.-	K15056	nbaB		
 neuroblastoma-amplified sequence		K20473	NBAS		
 neuroblastoma suppressor of tumorigenicity 1		K19558	NBL1		
 two-component system, OmpR family, response regulator NblR		K11332	nblR		
 two-component system, OmpR family, response regulator NblR		K11332	nblR		
 two-component system, OmpR family, sensor histidine kinase NblS 	2.7.13.3	K07769	nblS		
 two-component system, OmpR family, sensor histidine kinase NblS 	2.7.13.3	K07769	nblS		
 two-component system, OmpR family, sensor histidine kinase NblS 	2.7.13.3	K07769	nblS		
 nibrin		K10867	NBN	NBS1	
 nibrin		K10867	NBN	NBS1	
 nibrin		K10867	NBN	NBS1	
 nibrin		K10867	NBN	NBS1	
 nicotine blue oxidoreductase 	1.1.1.328	K19190	nboR		
 next to BRCA1 gene 1 protein		K17987	NBR1		
 next to BRCA1 gene 1 protein		K17987	NBR1		
 next to BRCA1 gene 1 protein		K17987	NBR1		
 nitrobenzene nitroreductase 	1.7.1.16	K15057	nbzA		
 nuclear control of ATPase protein 2		K18158	NCA2		
 neurocalcin delta		K19695	NCALD		
 neural cell adhesion molecule		K06491	NCAM	CD56	
 neural cell adhesion molecule		K06491	NCAM	CD56	
 neural cell adhesion molecule		K06491	NCAM	CD56	
 neural cell adhesion molecule		K06491	NCAM	CD56	
 neural cell adhesion molecule		K06491	NCAM	CD56	
 neural cell adhesion molecule		K06491	NCAM	CD56	
 neural cell adhesion molecule		K06491	NCAM	CD56	
 neurocan core protein		K06794	NCAN	CSPG3	
 neurocan core protein		K06794	NCAN	CSPG3	
 neurocan core protein		K06794	NCAN	CSPG3	
 condensin-2 complex subunit D3		K11491	NCAPD3		
 condensin-2 complex subunit G2		K11492	NCAPG2	LUZP5	
 condensin-2 complex subunit H2		K11490	NCAPH2		
 nuclear cap-binding protein subunit 1		K12882	NCBP1	CBP80	
 nuclear cap-binding protein subunit 1		K12882	NCBP1	CBP80	
 nuclear cap-binding protein subunit 1		K12882	NCBP1	CBP80	
 nuclear cap-binding protein subunit 1		K12882	NCBP1	CBP80	
 nuclear cap-binding protein subunit 1		K12882	NCBP1	CBP80	
 nuclear cap-binding protein subunit 2		K12883	NCBP2	CBP20	
 nuclear cap-binding protein subunit 2		K12883	NCBP2	CBP20	
 nuclear cap-binding protein subunit 2		K12883	NCBP2	CBP20	
 nuclear cap-binding protein subunit 2		K12883	NCBP2	CBP20	
 nuclear cap-binding protein subunit 2		K12883	NCBP2	CBP20	
 nitronate monooxygenase 	1.13.12.16	K00459	ncd2	npd	
 RecQ-mediated genome instability protein 1		K15364	NCE4	RMI1	
 RecQ-mediated genome instability protein 1		K15364	NCE4	RMI1	
 9-cis-epoxycarotenoid dioxygenase 	1.13.11.51	K09840	NCED		
 neutral cholesterol ester hydrolase 1 	3.1.1.-	K14349	NCEH1	AADACL1	
 neutral cholesterol ester hydrolase 1 	3.1.1.-	K14349	NCEH1	AADACL1	
 neutral cholesterol ester hydrolase 1 	3.1.1.-	K14349	NCEH1	AADACL1	
 neutral cholesterol ester hydrolase 1 	3.1.1.-	K14349	NCEH1	AADACL1	
 neutral cholesterol ester hydrolase 1 	3.1.1.-	K14349	NCEH1	AADACL1	
 neutrophil cytosolic factor 1		K08011	NCF1	P47PHOX	
 neutrophil cytosolic factor 1		K08011	NCF1	P47PHOX	
 neutrophil cytosolic factor 1		K08011	NCF1	P47PHOX	
 neutrophil cytosolic factor 1		K08011	NCF1	P47PHOX	
 neutrophil cytosolic factor 1		K08011	NCF1	P47PHOX	
 neutrophil cytosolic factor 1		K08011	NCF1	P47PHOX	
 neutrophil cytosolic factor 1		K08011	NCF1	P47PHOX	
 neutrophil cytosolic factor 1		K08011	NCF1	P47PHOX	
 neutrophil cytosolic factor 2		K08010	NCF2	P67PHOX	
 neutrophil cytosolic factor 2		K08010	NCF2	P67PHOX	
 neutrophil cytosolic factor 2		K08010	NCF2	P67PHOX	
 neutrophil cytosolic factor 2		K08010	NCF2	P67PHOX	
 neutrophil cytosolic factor 2		K08010	NCF2	P67PHOX	
 neutrophil cytosolic factor 2		K08010	NCF2	P67PHOX	
 neutrophil cytosolic factor 4		K08012	NCF4	P40PHOX	
 neutrophil cytosolic factor 4		K08012	NCF4	P40PHOX	
 neutrophil cytosolic factor 4		K08012	NCF4	P40PHOX	
 neutrophil cytosolic factor 4		K08012	NCF4	P40PHOX	
 neutrophil cytosolic factor 4		K08012	NCF4	P40PHOX	
 NCK adaptor protein 1		K07365	NCK1		
 NCK adaptor protein 1		K07365	NCK1		
 NCK adaptor protein 1		K07365	NCK1		
 NCK adaptor protein 1		K07365	NCK1		
 NCK adaptor protein 2		K19862	NCK2	GRB4	
 NCK adaptor protein 2		K19862	NCK2	GRB4	
 NCK adaptor protein 2		K19862	NCK2	GRB4	
 NCK adaptor protein 2		K19862	NCK2	GRB4	
 NCK-associated protein 1		K05750	NCKAP1	NAP125	
 nucleolin		K11294	NCL	NSR1	
 nucleolin		K11294	NCL	NSR1	
 nucleolin		K11294	NCL	NSR1	
 multisite-specific tRNA:(cytosine-C5)-methyltransferase 	2.1.1.202	K15334	NCL1	TRM4	
 nuclear receptor coactivator 1 	2.3.1.48	K09101	NCOA1	SRC1	
 nuclear receptor coactivator 1 	2.3.1.48	K09101	NCOA1	SRC1	
 nuclear receptor coactivator 1 	2.3.1.48	K09101	NCOA1	SRC1	
 nuclear receptor coactivator 1 	2.3.1.48	K09101	NCOA1	SRC1	
 nuclear receptor coactivator 1 	2.3.1.48	K09101	NCOA1	SRC1	
 nuclear receptor coactivator 2		K11255	NCOA2	TIF2	
 nuclear receptor coactivator 2		K11255	NCOA2	TIF2	
 nuclear receptor coactivator 2		K11255	NCOA2	TIF2	
 nuclear receptor coactivator 3 	2.3.1.48	K11256	NCOA3	ACTR	
 nuclear receptor coactivator 3 	2.3.1.48	K11256	NCOA3	ACTR	
 nuclear receptor coactivator 3 	2.3.1.48	K11256	NCOA3	ACTR	
 nuclear receptor coactivator 3 	2.3.1.48	K11256	NCOA3	ACTR	
 nuclear receptor coactivator 3 	2.3.1.48	K11256	NCOA3	ACTR	
 nuclear receptor coactivator 3 	2.3.1.48	K11256	NCOA3	ACTR	
 nuclear receptor coactivator 4		K09289	NCOA4	PTC3	
 nuclear receptor coactivator 4		K09289	NCOA4	PTC3	
 nuclear receptor coactivator 4		K09289	NCOA4	PTC3	
 nuclear receptor coactivator 6		K14971	NCOA6	ASC2	
 nuclear receptor coactivator 6		K14971	NCOA6	ASC2	
 protein O-GlcNAcase / histone acetyltransferase 	3.2.1.169 2.3.1.48	K15719	NCOAT	MGEA5	
 nuclear receptor co-repressor 1		K04650	NCOR1	N-CoR	
 nuclear receptor co-repressor 1		K04650	NCOR1	N-CoR	
 nuclear receptor co-repressor 1		K04650	NCOR1	N-CoR	
 nuclear receptor co-repressor 1		K04650	NCOR1	N-CoR	
 nuclear receptor co-repressor 2		K06065	NCOR2	SMRT	
 nuclear receptor co-repressor 2		K06065	NCOR2	SMRT	
 natural cytotoxicity triggering receptor 1		K06741	NCR1	CD335	
 natural cytotoxicity triggering receptor 1		K06741	NCR1	CD335	
 natural cytotoxicity triggering receptor 2		K06742	NCR2	CD336	
 natural cytotoxicity triggering receptor 2		K06742	NCR2	CD336	
 natural cytotoxicity triggering receptor 3		K06743	NCR3	CD337	
 natural cytotoxicity triggering receptor 3		K06743	NCR3	CD337	
 natural cytotoxicity triggering receptor 3 ligand 1		K16349	NCR3LG1	B7H6	
 (S)-norcoclaurine synthase 	4.2.1.78	K13382	NCS		
 neuronal calcium sensor 1		K19932	NCS1		
